species,seedlingID,march_deadH,march_aliveH,ID,may_deadH,may_aliveH,aliveinmarch,aliveinmay,
SAAP,1_left_SAAP_blue,,0.2,1801,,,Y,N,
HEAR,11_right_HEAR_R,,0.25,1457,,,Y,N,
CEOL,36_right_CEOL_blue,,0.45,1415,,,Y,N,
RHOV,3_right_RHOV_green,,0.55,1748,,,Y,N,
SAAP,1_right_SAAP_blue,,0.58,1803,,0.53,Y,Y,
SAAP,8_left_SAAP_blue,,0.62,1937,,,Y,N,
RHOV,15_left_RHOV_green,,0.69,1682,,,Y,N,
RHOV,34_left_RHOV_green,,0.7,1766,0.885,,Y,N,
RHOV,16_left_RHOV_blue,,0.74,1685,,,Y,N,
CEOL,9_right_CEOL_blue,,0.75,1439,,,Y,N,
CEOL,12_left_CEOL_green,,0.78,1310,,1.99,Y,Y,
RHOV,14_right_RHOV_green,,0.8,1680,,,Y,N,
SAAP,34_right_SAAP_blue,,0.8,1911,,,Y,N,
HEAR,36_left_HEAR_S,,0.83,1617,3.04,,Y,N,
CEOL,10_right_CEOL_blue,,0.88,1303,,1.16,Y,Y,
RHOV,28_left_RHOV_green,,0.88,1738,0.91,,Y,N,
RHOV,15_right_RHOV_green,,0.9,1684,,1.1,Y,Y,
SAAP,9_left_SAAP_blue,,0.9,1941,,,Y,N,
SAAP,6_right_SAAP_green,,0.94,1932,,,Y,N,
CEOL,8_right_CEOL_blue,,0.97,1435,,,Y,N,
CEOL,15_left_CEOL_blue,,0.987,1321,,1.42,Y,Y,
CEOL,18_left_CEOL_blue,,1,1333,,0.58,Y,Y,
RHOV,17_right_RHOV_blue,,1,1691,,,Y,N,
RHOV,2_left_RHOV_blue,,1.01,1701,,0.98,Y,Y,
CEOL,23_left_CEOL_green,,1.04,1358,,,Y,N,
RHOV,17_left_RHOV_blue,,1.05,1689,,,Y,N,
CEOL,23_left_CEOL_blue,,1.08,1357,,0.669,Y,Y,
RHOV,23_left_RHOV_green,,1.08,1718,1.15,,Y,N,
RHOV,30_left_RHOV_green,,1.08,1750,1.78,,Y,N,
RHOV,22_right_RHOV_green,,1.09,1716,,2.7,Y,Y,
SAAP,12_right_SAAP_blue,,1.1,1815,,1.27,Y,Y,
SAAP,5_left_SAAP_blue,,1.1,1925,,,Y,N,
RHOV,31_left_RHOV_green,,1.11,1754,,,Y,N,
RHOV,7_left_RHOV_blue,,1.11,1789,,,Y,N,
CEOL,11_right_CEOL_blue,,1.12,1307,,,Y,N,
RHOV,12_left_RHOV_green,,1.12,1670,,0.67,Y,Y,
SAAP,8_right_SAAP_blue,,1.12,1939,,,Y,N,
CEOL,5_left_CEOL_green,,1.13,1422,,1.89,Y,Y,
RHOV,5_left_RHOV_green,,1.14,1782,,,Y,N,
RHOV,18_right_RHOV_blue,,1.141,1695,,,Y,N,
SAAP,13_left_SAAP_green,,1.15,1818,,6.81,Y,Y,
CEOL,3_right_CEOL_blue,,1.16,1387,,3.41,Y,Y,
SAAP,8_right_SAAP_green,,1.18,1940,,,Y,N,
RHOV,15_left_RHOV_blue,,1.182,1681,,,Y,N,
RHOV,13_left_RHOV_green,,1.19,1674,,,Y,N,
RHOV,21_right_RHOV_green,,1.19,1712,,1.2,Y,Y,
SAAP,12_left_SAAP_blue,,1.2,1813,,,Y,N,
SAAP,33_right_SAAP_green,,1.21,1908,,,Y,N,
RHOV,20_left_RHOV_blue,,1.22,1705,,0.9,Y,Y,
SAAP,4_right_SAAP_green,,1.24,1924,,,Y,N,
RHOV,36_left_RHOV_blue,,1.25,1773,,,Y,N,
RHOV,8_left_RHOV_blue,,1.25,1793,,1.207,Y,Y,
SAAP,5_right_SAAP_green,,1.25,1928,,4.21,Y,Y,
SAAP,24_left_SAAP_blue,,1.27,1865,1.3,,Y,N,
CEOL,3_right_CEOL_green,,1.28,1388,,5.63,Y,Y,
CEOL,14_right_CEOL_green,,1.289,1320,,,Y,N,
CEOL,11_left_CEOL_green,,1.29,1306,,,Y,N,
CEOL,12_right_CEOL_green,,1.3,1312,,1.22,Y,Y,
CEOL,2_right_CEOL_green,,1.3,1344,,1.01,Y,Y,
RHOV,13_right_RHOV_blue,,1.3,1675,,,Y,N,
RHOV,15_right_RHOV_blue,,1.3,1683,,,Y,N,
RHOV,4_right_RHOV_green,,1.3,1780,,,Y,N,
SAAP,12_right_SAAP_green,,1.3,1816,,1.92,Y,Y,
RHOV,11_left_RHOV_green,,1.31,1666,,,Y,N,
RHOV,27_right_RHOV_blue,,1.32,1735,,,Y,N,
RHOV,35_right_RHOV_green,,1.34,1772,1.218,,Y,N,
RHOV,1_left_RHOV_blue,,1.35,1657,,1.15,Y,Y,
SAAP,7_right_SAAP_blue,,1.38,1935,,1.54,Y,Y,
SAAP,15_left_SAAP_blue,,1.399,1825,,,Y,N,
RHOV,18_left_RHOV_green,,1.4,1694,,,Y,N,
RHOV,2_right_RHOV_green,,1.4,1704,,,Y,N,
RHOV,24_left_RHOV_green,,1.4,1722,1.3,,Y,N,
SAAP,1_right_SAAP_green,,1.4,1804,,,Y,N,
CEOL,25_right_CEOL_green,,1.41,1368,,,Y,N,
CEOL,36_right_CEOL_green,,1.41,1416,,,Y,N,
RHOV,29_left_RHOV_blue,,1.42,1741,,,Y,N,
CEOL,6_right_CEOL_blue,,1.43,1427,,,Y,N,
SAAP,5_left_SAAP_green,,1.44,1926,,,Y,N,
RHOV,14_right_RHOV_blue,,1.449,1679,,,Y,N,
CEOL,35_left_CEOL_blue,,1.45,1409,1.883,,Y,N,
RHOV,7_left_RHOV_green,,1.45,1790,,1.218,Y,Y,
CEOL,27_right_CEOL_blue,,1.47,1375,,,Y,N,
RHOV,5_right_RHOV_green,,1.47,1784,,,Y,N,
RHOV,7_right_RHOV_blue,,1.48,1791,,,Y,N,
SAAP,29_right_SAAP_blue,,1.49,1887,1.13,,Y,N,
RHOV,12_right_RHOV_blue,,1.5,1671,,,Y,N,
RHOV,25_right_RHOV_green,,1.52,1728,1.5,,Y,N,
RHOV,32_left_RHOV_blue,,1.52,1757,,0.904,Y,Y,
RHOV,34_left_RHOV_blue,,1.52,1765,,2.56,Y,Y,
CEOL,27_right_CEOL_green,,1.53,1376,,,Y,N,
CEOL,35_right_CEOL_green,,1.53,1412,2.081,,Y,N,
CEOL,11_left_CEOL_blue,,1.54,1305,,,Y,N,
CEOL,26_left_CEOL_green,,1.55,1370,1.39,,Y,N,
RHOV,5_right_RHOV_blue,,1.56,1783,,,Y,N,
SAAP,9_right_SAAP_blue,,1.56,1943,,,Y,N,
RHOV,2_left_RHOV_green,,1.57,1702,,,Y,N,
RHOV,12_left_RHOV_blue,,1.58,1669,,1.38,Y,Y,
CEOL,28_left_CEOL_blue,,1.59,1377,2.14,,Y,N,
CEOL,5_left_CEOL_blue,,1.6,1421,,2.456,Y,Y,
