date,year,plot_number,treatment,quad_rep,nn_grassheight_cm
2-Jun-18,2018,1,no removal,1,17.1
2-Jun-18,2018,1,no removal,2,16.1
2-Jun-18,2018,1,no removal,3,6.5
2-Jun-18,2018,1,no removal,4,10.5
2-Jun-18,2018,1,no removal,5,17.4
2-Jun-18,2018,2,full removal,1,17
2-Jun-18,2018,2,full removal,2,21
2-Jun-18,2018,2,full removal,3,17.5
2-Jun-18,2018,2,full removal,4,17.8
2-Jun-18,2018,2,full removal,5,10.9
2-Jun-18,2018,3,full removal,1,25.6
2-Jun-18,2018,3,full removal,2,17.3
2-Jun-18,2018,3,full removal,3,11
2-Jun-18,2018,3,full removal,4,15
2-Jun-18,2018,3,full removal,5,21.9
2-Jun-18,2018,4,half removal,1,18.3
2-Jun-18,2018,4,half removal,2,22
2-Jun-18,2018,4,half removal,3,23.6
2-Jun-18,2018,4,half removal,4,17.5
2-Jun-18,2018,4,half removal,5,13
2-Jun-18,2018,5,half removal,1,12.5
2-Jun-18,2018,5,half removal,2,18.5
2-Jun-18,2018,5,half removal,3,13.25
2-Jun-18,2018,5,half removal,4,11.2
2-Jun-18,2018,5,half removal,5,20.5
2-Jun-18,2018,6,no removal,1,17.8
2-Jun-18,2018,6,no removal,2,26.2
2-Jun-18,2018,6,no removal,3,21.7
2-Jun-18,2018,6,no removal,4,14
2-Jun-18,2018,6,no removal,5,13
2-Jun-18,2018,7,no removal,1,14.2
2-Jun-18,2018,7,no removal,2,8.4
2-Jun-18,2018,7,no removal,3,4.5
2-Jun-18,2018,7,no removal,4,12
2-Jun-18,2018,7,no removal,5,16.5
2-Jun-18,2018,8,half removal,1,7.25
2-Jun-18,2018,8,half removal,2,12
2-Jun-18,2018,8,half removal,3,31.6
2-Jun-18,2018,8,half removal,4,14.2
2-Jun-18,2018,8,half removal,5,13.4
2-Jun-18,2018,9,full removal,1,13.5
2-Jun-18,2018,9,full removal,2,14.2
2-Jun-18,2018,9,full removal,3,9.3
2-Jun-18,2018,9,full removal,4,10.5
2-Jun-18,2018,9,full removal,5,11.6
2-Jun-18,2018,10,half removal,1,14.4
2-Jun-18,2018,10,half removal,2,8.1
2-Jun-18,2018,10,half removal,3,7.75
2-Jun-18,2018,10,half removal,4,12.4
2-Jun-18,2018,10,half removal,5,5.5
2-Jun-18,2018,11,no removal,1,9.8
2-Jun-18,2018,11,no removal,2,16.5
2-Jun-18,2018,11,no removal,3,12.6
2-Jun-18,2018,11,no removal,4,5.5
2-Jun-18,2018,11,no removal,5,13
2-Jun-18,2018,12,full removal,1,9.3
2-Jun-18,2018,12,full removal,2,12.9
2-Jun-18,2018,12,full removal,3,12.3
2-Jun-18,2018,12,full removal,4,18
2-Jun-18,2018,12,full removal,5,6.8
26-May-18,2018,13,full removal,1,12
26-May-18,2018,13,full removal,2,17
26-May-18,2018,13,full removal,3,24
26-May-18,2018,13,full removal,4,20
26-May-18,2018,13,full removal,5,15.5
2-Jun-18,2018,14,no removal,1,23
2-Jun-18,2018,14,no removal,2,14.5
2-Jun-18,2018,14,no removal,3,15.2
2-Jun-18,2018,14,no removal,4,15.9
2-Jun-18,2018,14,no removal,5,11.5
26-May-18,2018,15,half removal,1,15
26-May-18,2018,15,half removal,2,9
26-May-18,2018,15,half removal,3,9.3
26-May-18,2018,15,half removal,4,9.4
26-May-18,2018,15,half removal,5,12.9
2-Jun-18,2018,16,full removal,1,11
2-Jun-18,2018,16,full removal,2,14.4
2-Jun-18,2018,16,full removal,3,14.8
2-Jun-18,2018,16,full removal,4,18.6
2-Jun-18,2018,16,full removal,5,28.2
26-May-18,2018,17,half removal,1,6.1
26-May-18,2018,17,half removal,2,17
26-May-18,2018,17,half removal,3,4.5
26-May-18,2018,17,half removal,4,14
26-May-18,2018,17,half removal,5,3.5
2-Jun-18,2018,18,no removal,1,11.5
2-Jun-18,2018,18,no removal,2,15.2
2-Jun-18,2018,18,no removal,3,20.2
2-Jun-18,2018,18,no removal,4,5.25
2-Jun-18,2018,18,no removal,5,4.75
9-Jun-18,2018,19,full removal,1,27.1
9-Jun-18,2018,19,full removal,2,37.9
9-Jun-18,2018,19,full removal,3,39.85
9-Jun-18,2018,19,full removal,4,24.5
9-Jun-18,2018,19,full removal,5,41.5
9-Jun-18,2018,20,no removal,1,14.5
9-Jun-18,2018,20,no removal,2,28.2
9-Jun-18,2018,20,no removal,3,25.9
9-Jun-18,2018,20,no removal,4,23.1
9-Jun-18,2018,20,no removal,5,34.4
9-Jun-18,2018,21,half removal,1,32.4
9-Jun-18,2018,21,half removal,2,15.6
9-Jun-18,2018,21,half removal,3,25.1
9-Jun-18,2018,21,half removal,4,24.6
9-Jun-18,2018,21,half removal,5,21.4
9-Jun-18,2018,22,full removal,1,24.1
9-Jun-18,2018,22,full removal,2,38
9-Jun-18,2018,22,full removal,3,21.3
9-Jun-18,2018,22,full removal,4,17.4
9-Jun-18,2018,22,full removal,5,34
9-Jun-18,2018,23,half removal,1,11.2
9-Jun-18,2018,23,half removal,2,19.9
9-Jun-18,2018,23,half removal,3,17.5
9-Jun-18,2018,23,half removal,4,10.6
9-Jun-18,2018,23,half removal,5,17.4
9-Jun-18,2018,24,no removal,1,20.1
9-Jun-18,2018,24,no removal,2,23.5
9-Jun-18,2018,24,no removal,3,16.2
9-Jun-18,2018,24,no removal,4,14.5
9-Jun-18,2018,24,no removal,5,22
9-Jun-18,2018,25,no removal,1,42
9-Jun-18,2018,25,no removal,2,20.8
9-Jun-18,2018,25,no removal,3,23.8
9-Jun-18,2018,25,no removal,4,22.1
9-Jun-18,2018,25,no removal,5,24
9-Jun-18,2018,26,half removal,1,29.6
9-Jun-18,2018,26,half removal,2,13
9-Jun-18,2018,26,half removal,3,31.1
9-Jun-18,2018,26,half removal,4,15.3
9-Jun-18,2018,26,half removal,5,12.8
9-Jun-18,2018,27,full removal,1,29.5
9-Jun-18,2018,27,full removal,2,26
9-Jun-18,2018,27,full removal,3,37.6
9-Jun-18,2018,27,full removal,4,28.1
9-Jun-18,2018,27,full removal,5,24
10-Jun-18,2018,28,half removal,1,25.9
10-Jun-18,2018,28,half removal,2,25.6
10-Jun-18,2018,28,half removal,3,22.1
10-Jun-18,2018,28,half removal,4,18
10-Jun-18,2018,28,half removal,5,20.8
9-Jun-18,2018,29,no removal,1,10.6
9-Jun-18,2018,29,no removal,2,16.2
9-Jun-18,2018,29,no removal,3,21
9-Jun-18,2018,29,no removal,4,19
9-Jun-18,2018,29,no removal,5,26.8
9-Jun-18,2018,30,full removal,1,27.4
9-Jun-18,2018,30,full removal,2,23
9-Jun-18,2018,30,full removal,3,17.5
9-Jun-18,2018,30,full removal,4,21.9
9-Jun-18,2018,30,full removal,5,17
10-Jun-18,2018,31,no removal,1,27.2
10-Jun-18,2018,31,no removal,2,17.6
10-Jun-18,2018,31,no removal,3,40
10-Jun-18,2018,31,no removal,4,33.5
10-Jun-18,2018,31,no removal,5,34.3
10-Jun-18,2018,32,half removal,1,9.8
10-Jun-18,2018,32,half removal,2,11.5
10-Jun-18,2018,32,half removal,3,11.4
10-Jun-18,2018,32,half removal,4,20.5
10-Jun-18,2018,32,half removal,5,19.3
10-Jun-18,2018,33,full removal,1,29
10-Jun-18,2018,33,full removal,2,20.5
10-Jun-18,2018,33,full removal,3,21
10-Jun-18,2018,33,full removal,4,16.1
10-Jun-18,2018,33,full removal,5,25.1
10-Jun-18,2018,34,half removal,1,24.5
10-Jun-18,2018,34,half removal,2,32.9
10-Jun-18,2018,34,half removal,3,32.4
10-Jun-18,2018,34,half removal,4,12.4
10-Jun-18,2018,34,half removal,5,11.6
10-Jun-18,2018,35,full removal,1,11.2
10-Jun-18,2018,35,full removal,2,18.3
10-Jun-18,2018,35,full removal,3,15.1
10-Jun-18,2018,35,full removal,4,22.8
10-Jun-18,2018,35,full removal,5,22.5
10-Jun-18,2018,36,no removal,1,27.2
10-Jun-18,2018,36,no removal,2,40.5
10-Jun-18,2018,36,no removal,3,25.2
10-Jun-18,2018,36,no removal,4,29.4
10-Jun-18,2018,36,no removal,5,23.3
