,timepoint,seedlingID,dead,alive
1,feb,1_left_CEOL_blue,NA,NA
2,feb,1_left_CEOL_green,NA,NA
3,feb,1_right_CEOL_blue,NA,NA
4,feb,1_right_CEOL_green,NA,NA
5,feb,10_left_CEOL_blue,NA,NA
6,feb,10_left_CEOL_green,NA,NA
7,feb,10_right_CEOL_blue,NA,NA
8,feb,10_right_CEOL_green,NA,NA
9,feb,11_left_CEOL_blue,NA,NA
10,feb,11_left_CEOL_green,NA,NA
11,feb,11_right_CEOL_blue,NA,NA
12,feb,11_right_CEOL_green,NA,NA
13,feb,12_left_CEOL_blue,NA,NA
14,feb,12_left_CEOL_green,NA,NA
15,feb,12_right_CEOL_blue,NA,NA
16,feb,12_right_CEOL_green,NA,NA
17,feb,13_left_CEOL_blue,NA,NA
18,feb,13_left_CEOL_green,NA,NA
19,feb,13_right_CEOL_blue,NA,NA
20,feb,13_right_CEOL_green,NA,NA
21,feb,14_left_CEOL_blue,NA,NA
22,feb,14_left_CEOL_green,NA,NA
23,feb,14_right_CEOL_blue,NA,NA
24,feb,14_right_CEOL_green,NA,NA
25,feb,15_left_CEOL_blue,NA,NA
26,feb,15_left_CEOL_green,NA,NA
27,feb,15_right_CEOL_blue,NA,NA
28,feb,15_right_CEOL_green,NA,NA
29,feb,16_left_CEOL_blue,NA,NA
30,feb,16_left_CEOL_green,NA,NA
31,feb,16_right_CEOL_blue,NA,NA
32,feb,16_right_CEOL_green,NA,NA
33,feb,17_left_CEOL_blue,NA,NA
34,feb,17_left_CEOL_green,NA,NA
35,feb,17_right_CEOL_blue,NA,NA
36,feb,17_right_CEOL_green,NA,NA
37,feb,18_left_CEOL_blue,NA,NA
38,feb,18_left_CEOL_green,NA,NA
39,feb,18_right_CEOL_blue,NA,NA
40,feb,18_right_CEOL_green,NA,NA
41,feb,19_left_CEOL_blue,NA,NA
42,feb,19_left_CEOL_green,NA,NA
43,feb,19_right_CEOL_blue,NA,NA
44,feb,19_right_CEOL_green,NA,NA
45,feb,2_left_CEOL_blue,NA,NA
46,feb,2_left_CEOL_green,NA,NA
47,feb,2_right_CEOL_blue,NA,NA
48,feb,2_right_CEOL_green,NA,NA
49,feb,20_left_CEOL_blue,NA,NA
50,feb,20_left_CEOL_green,NA,NA
51,feb,20_right_CEOL_blue,NA,NA
52,feb,20_right_CEOL_green,NA,NA
53,feb,21_left_CEOL_blue,NA,NA
54,feb,21_left_CEOL_green,NA,NA
55,feb,21_right_CEOL_blue,NA,NA
56,feb,21_right_CEOL_green,NA,NA
57,feb,22_left_CEOL_blue,NA,NA
58,feb,22_left_CEOL_green,NA,NA
59,feb,22_right_CEOL_blue,NA,NA
60,feb,22_right_CEOL_green,NA,NA
61,feb,23_left_CEOL_blue,NA,NA
62,feb,23_left_CEOL_green,NA,NA
63,feb,23_right_CEOL_blue,NA,NA
64,feb,23_right_CEOL_green,NA,NA
65,feb,24_left_CEOL_blue,NA,NA
66,feb,24_left_CEOL_green,NA,NA
67,feb,24_right_CEOL_blue,NA,NA
68,feb,24_right_CEOL_green,NA,NA
69,feb,25_left_CEOL_blue,NA,NA
70,feb,25_left_CEOL_green,NA,NA
71,feb,25_right_CEOL_blue,NA,NA
72,feb,25_right_CEOL_green,NA,NA
73,feb,26_left_CEOL_blue,NA,NA
74,feb,26_left_CEOL_green,NA,NA
75,feb,26_right_CEOL_blue,NA,NA
76,feb,26_right_CEOL_green,NA,NA
77,feb,27_left_CEOL_blue,NA,NA
78,feb,27_left_CEOL_green,NA,NA
79,feb,27_right_CEOL_blue,NA,NA
80,feb,27_right_CEOL_green,NA,NA
81,feb,28_left_CEOL_blue,NA,NA
82,feb,28_left_CEOL_green,NA,NA
83,feb,28_right_CEOL_blue,NA,NA
84,feb,28_right_CEOL_green,NA,NA
85,feb,29_left_CEOL_blue,NA,NA
86,feb,29_left_CEOL_green,NA,NA
87,feb,29_right_CEOL_blue,NA,NA
88,feb,29_right_CEOL_green,NA,NA
