Timestamp,ID,Device Name,Nutrient,Moisture,Temperature,Medium,Nutrient min,Nutrient max,Moisture min,Moisture max,Note
16:26.0,2870,Pulse-BC04,1.25,24,13,Mixed medium,0,15,0,100,rhov-1-d
16:02.0,2869,Pulse-BC04,1.29,26,13,Mixed medium,0,15,0,100,rhov-20-d
15:40.0,2868,Pulse-BC04,1.27,22,12.8,Mixed medium,0,15,0,100,rhov-4-d
15:15.0,2867,Pulse-BC04,1.19,12,12.9,Mixed medium,0,15,0,100,hear-18-d
14:46.0,2866,Pulse-BC04,1.18,17,12.9,Mixed medium,0,15,0,100,hear-13-d
14:22.0,2865,Pulse-BC04,1.3,16,12.8,Mixed medium,0,15,0,100,hear-25-d
14:00.0,2864,Pulse-BC04,1.24,16,12.9,Mixed medium,0,15,0,100,hear-14-d
13:31.0,2863,Pulse-BC04,1.11,14,12.9,Mixed medium,0,15,0,100,ceol-14-d
13:07.0,2862,Pulse-BC04,1.26,23,12.9,Mixed medium,0,15,0,100,rhov-42-d
12:39.0,2861,Pulse-BC04,1.1,15,13,Mixed medium,0,15,0,100,ceol-17-d
12:14.0,2860,Pulse-BC04,1.1,16,13.2,Mixed medium,0,15,0,100,ceol-1-d 
11:50.0,2859,Pulse-BC04,1.18,20,13.8,Mixed medium,0,15,0,100,rhov-33-d
11:27.0,2858,Pulse-BC04,1.12,15,14,Mixed medium,0,15,0,100,hear-6-d
11:01.0,2857,Pulse-BC04,1.25,21,13.2,Mixed medium,0,15,0,100,rhov-41-d
10:36.0,2856,Pulse-BC04,1.22,14,13,Mixed medium,0,15,0,100,rhov-46-d
10:03.0,2855,Pulse-BC04,1.24,15,12.6,Mixed medium,0,15,0,100,ceol-21-d
09:36.0,2854,Pulse-BC04,1.27,22,12.7,Mixed medium,0,15,0,100,rhov-34-d
09:11.0,2853,Pulse-BC04,1.22,21,12.7,Mixed medium,0,15,0,100,rhov-31-d
08:45.0,2852,Pulse-BC04,1.31,22,12.8,Mixed medium,0,15,0,100,rhov-38-d 
08:23.0,2851,Pulse-BC04,1.23,15,12.6,Mixed medium,0,15,0,100,hear-8-d
07:53.0,2850,Pulse-BC04,1.21,18,12.6,Mixed medium,0,15,0,100,ceol-40-d
07:28.0,2849,Pulse-BC04,1.39,25,12.6,Mixed medium,0,15,0,100,rhov-15-d
07:05.0,2848,Pulse-BC04,1.23,20,12.7,Mixed medium,0,15,0,100,rhov-17-d
