SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,species,plant id,leaf #,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,13:58:15,2022-04-16,dark adapted,Shane Dewees,,ceol,028,001,0.014751,2.921924,0.014677,0.188344,1.438296,1.432966,2.718269,1.279973,14.072938,14.125278,26.695694,0.441786,PSF-00342_20220416135815,104.396584,369.427094,0.717410,0.000000,0.000000,0.000000,0.5,0.80,-0.002083,46.53,46.36,24.53,22.40,101.82,156.7,154.2,1.6,-0,3.905,13:57:57,2022-04-16,0.38,0.003,-9999.000,-9999.000,0.926,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.463919,2.462387,1.655686,0.932293,0.277936,-0.023612,0.492849,0.107006,104.339363,0.000228,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135815,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
2,13:58:43,2022-04-16,dark adapted,Shane Dewees,,ceol,028,002,0.074779,2.919896,0.072912,0.804240,1.470659,1.447873,2.571514,1.100855,14.219367,14.443150,25.254503,0.441786,PSF-00342_20220416135843,78.762886,322.097168,0.755469,0.000000,0.000000,0.000000,0.5,0.80,-0.001387,47.57,46.84,24.53,21.49,101.82,156.5,144.0,8.0,-0,3.905,13:57:57,2022-04-16,0.38,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.464572,2.463852,1.653520,0.906350,0.277907,-0.034088,0.493782,0.107009,77.816963,0.000230,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135843,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
3,13:58:52,2022-04-16,dark adapted,Shane Dewees,,ceol,028,003,0.061887,2.921322,0.060603,0.683862,1.476555,1.457201,2.602571,1.126017,14.310771,14.500833,25.559132,0.441786,PSF-00342_20220416135852,74.190971,300.302979,0.752946,0.000000,0.000000,0.000000,0.5,0.80,-0.001497,47.77,47.14,24.53,21.68,101.83,156.7,85.3,45.5,-0,3.905,13:57:57,2022-04-16,0.38,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.464995,2.464129,1.655042,0.768731,0.277929,-0.031820,0.494083,0.107008,74.190971,0.000231,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135852,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
4,13:59:07,2022-04-16,dark adapted,Shane Dewees,,ceol,031,001,0.046473,2.921457,0.045745,0.556927,1.475789,1.460030,2.690132,1.214342,14.338370,14.493138,26.418713,0.441786,PSF-00342_20220416135907,95.717667,377.359985,0.746349,0.000000,0.000000,0.000000,0.5,0.80,-0.001257,47.75,47.24,24.52,22.22,101.83,156.7,155.8,0.5,-0,3.904,13:57:57,2022-04-16,0.38,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.465129,2.464103,1.655186,0.936513,0.277951,-0.025567,0.494582,0.107009,95.478416,0.000246,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135907,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
5,13:59:32,2022-04-16,dark adapted,Shane Dewees,,ceol,031,002,0.074109,2.922309,0.072276,0.749876,1.481688,1.460481,2.517547,1.035859,14.341009,14.549244,24.720728,0.441786,PSF-00342_20220416135932,98.159195,406.457672,0.758501,0.000000,0.000000,0.000000,0.5,0.80,-0.000699,47.95,47.27,24.52,21.14,101.84,156.8,155.8,0.6,-0,3.904,13:57:57,2022-04-16,0.38,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.465169,2.464392,1.656098,0.936600,0.278005,-0.037930,0.495456,0.107011,98.159195,0.000242,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135932,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
6,13:59:41,2022-04-16,dark adapted,Shane Dewees,,ceol,031,003,0.148324,2.916688,0.141146,1.688275,1.501029,1.453081,2.694067,1.193038,14.268311,14.739128,26.453979,0.441786,PSF-00342_20220416135941,93.527199,270.796173,0.654621,0.000000,0.000000,0.000000,0.5,0.80,-0.002400,48.59,47.03,24.52,22.25,101.84,156.1,28.7,81.6,-0,3.904,13:57:57,2022-04-16,0.38,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.464849,2.465281,1.650116,0.653436,0.278028,-0.025209,0.495793,0.107004,93.527199,0.000231,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135941,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
7,13:59:57,2022-04-16,dark adapted,Shane Dewees,,ceol,025,001,0.019409,2.921325,0.019281,0.242604,1.459303,1.452435,2.714454,1.255151,14.262038,14.329475,26.654301,0.441786,PSF-00342_20220416135957,97.726822,191.068405,0.488524,0.000000,0.000000,0.000000,0.5,0.80,-0.000748,47.25,47.03,24.51,22.37,101.84,156.7,146.3,6.6,-0,3.903,13:57:57,2022-04-16,0.38,0.000,-0.002,-9999.000,0.304,0.232,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.464840,2.463402,1.655045,0.912267,0.278081,-0.023724,0.496366,0.107009,97.726822,0.000230,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416135957,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
8,14:00:12,2022-04-16,dark adapted,Shane Dewees,,ceol,025,002,0.050056,2.921618,0.049213,0.502719,1.477722,1.463497,2.497694,1.019972,14.371016,14.510698,24.526451,0.441786,PSF-00342_20220416140012,74.947716,163.131592,0.540569,0.000000,0.000000,0.000000,0.5,0.80,-0.001405,47.86,47.40,24.51,21.01,101.84,156.7,137.8,12.1,-0,3.903,13:57:57,2022-04-16,0.38,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,1,150,-9999.000,-9999.000000,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.465359,2.464269,1.655358,0.890942,0.278152,-0.039241,0.496893,0.107007,74.947716,0.000243,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220416140012,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T16:59:57.778Z
