flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220414105426,10:54:26,2022-04-14,PFA-00370,PSA-00387,PSF-00342,0.000000,0.000000,0.000000,1.406550,82.943916,-57.969746,0.448533

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,1.376867,9962.056641,1
0.010000,1.389742,9962.056641,1
0.020000,1.406550,9962.056641,1
0.030000,1.397252,9962.056641,1
0.040000,1.395464,9962.056641,1
0.050000,1.382947,9962.056641,1
0.060000,1.368999,9962.056641,1
0.070000,1.344681,9962.056641,1
0.080000,1.315355,9962.056641,1
0.090000,1.283169,9962.056641,1
0.100000,1.272440,9962.056641,1
0.110000,1.250267,9962.056641,1
0.120000,1.241684,9962.056641,1
0.130000,1.212001,9962.056641,1
0.140000,1.197696,9962.056641,1
0.150000,1.185894,9962.056641,1
0.160000,1.166224,9962.056641,1
0.170000,1.149058,9962.056641,1
0.180000,1.141191,9962.056641,1
0.190000,1.125455,9962.056641,1
0.200000,1.106143,9962.056641,1
0.210000,1.098633,9962.056641,1
0.220000,1.066804,9962.056641,1
0.230000,1.049638,9962.056641,1
0.240000,1.033545,9962.056641,1
0.250000,1.005650,9962.056641,1
0.260000,1.002073,9962.056641,1
0.270000,0.978470,9962.056641,1
0.280000,0.965238,9962.056641,1
0.290000,0.950933,9962.056641,1
0.300000,0.967383,9879.045898,2
0.310000,0.963807,9796.036133,2
0.320000,0.964165,9713.025391,2
0.330000,0.982761,9630.014648,2
0.340000,1.000643,9547.004883,2
0.350000,1.042485,9463.994141,2
0.360000,1.073956,9380.984375,2
0.370000,1.110077,9297.973633,2
0.380000,1.149058,9214.962891,2
0.390000,1.195550,9131.953125,2
0.400000,1.234174,9048.942383,2
0.410000,1.281738,8965.932617,2
0.420000,1.330376,8882.921875,2
0.430000,1.396537,8799.911133,2
0.440000,1.470208,8716.901367,2
0.450000,1.543522,8633.890625,2
0.460000,1.674056,8550.880859,2
0.470000,4.423499,8467.870117,2
0.480000,36.975861,8384.859375,2
0.490000,95.423340,8301.849609,2
0.500000,99.204185,8218.838867,2
0.510000,100.916862,8135.828613,2
0.520000,101.764442,8052.818359,2
0.530000,102.254395,7969.808105,2
0.540000,102.572678,7886.797363,2
0.550000,102.794411,7803.787109,2
0.560000,102.966072,7720.776855,2
0.570000,103.106621,7637.766602,2
0.580000,103.230713,7554.755859,2
0.590000,103.318336,7471.745605,2
0.600000,103.378059,9962.056641,3
0.610000,103.555084,9962.056641,3
0.620000,103.661301,9962.056641,3
0.630000,103.734612,9962.056641,3
0.640000,103.796837,9962.056641,3
0.650000,103.864433,9962.056641,3
0.660000,103.910568,9962.056641,3
0.670000,103.957054,9962.056641,3
0.680000,103.992462,9962.056641,3
0.690000,104.030731,9962.056641,3
0.700000,104.075073,9962.056641,3
0.710000,104.108337,9962.056641,3
0.720000,104.136589,9962.056641,3
0.730000,104.179855,9962.056641,3
0.740000,104.208115,9962.056641,3
0.750000,104.245308,9962.056641,3
0.760000,104.292511,9962.056641,3
0.770000,104.324341,9962.056641,3
0.780000,104.341148,9962.056641,3
0.790000,104.364754,9962.056641,3
0.800000,104.396942,9962.056641,3
0.810000,104.410172,9962.056641,3
0.820000,104.448082,9962.056641,3
0.830000,104.469177,9962.056641,3
0.839999,104.512451,9962.056641,3
0.849999,104.538559,9962.056641,3
0.859999,104.573967,9962.056641,3
0.869999,104.607224,9962.056641,3
0.879999,104.634048,9962.056641,3
0.889999,104.667664,9962.056641,3
