SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,species,id,Leaf #,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:33:28,2022-04-14,gsw light adap,Shane,,ceol,045,001,0.177932,2.921119,0.167716,3.402266,0.923772,0.827182,2.945081,2.021309,8.143524,9.094435,28.994011,0.441786,PSF-00342_20220414103328,0.000000,0.000000,0.000000,72.845581,84.481186,0.137730,0.5,0.80,112.774948,39.22,35.12,20.06,23.72,101.58,156.6,157.0,-0.2,2047,4.129,10:33:03,2022-04-14,-0.09,-0.001,-0.003,-0.017,0.105,1.858,1.393,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,83.456039,25,-1.079186,82.874893,83.397888,-0.522995,2.449294,2.453734,1.654826,0.939632,0.332402,0.044070,0.066697,2.027268,72.845581,0.000475,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103328,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
2,10:33:40,2022-04-14,gsw light adap,Shane,,ceol,045,002,0.016969,2.919769,0.016871,0.385887,0.847398,0.836423,3.125419,2.278020,8.234149,8.342199,30.768129,0.441786,PSF-00342_20220414103340,0.000000,0.000000,0.000000,62.020897,63.812973,0.028083,0.5,0.80,22.855452,35.84,35.38,20.12,24.71,101.58,156.5,130.6,16.5,2035,4.128,10:33:03,2022-04-14,-0.09,-0.002,-0.004,-0.017,-0.150,-0.047,-0.086,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,63.812973,25,0.269797,63.572647,64.083794,-0.511147,2.449649,2.448711,1.653385,0.873231,0.331564,0.055180,0.068634,2.015625,62.020897,0.000484,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103340,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
3,10:34:00,2022-04-14,gsw light adap,Shane,,ceol,045,003,0.019100,2.923641,0.018976,0.471425,0.883806,0.870442,3.354793,2.470987,8.568697,8.700246,33.024818,0.441786,PSF-00342_20220414103400,0.000000,0.000000,0.000000,61.760902,63.853027,0.032765,0.5,0.80,26.611273,37.16,36.60,20.22,25.90,101.58,156.9,153.5,2.2,2030,4.127,10:33:03,2022-04-14,-0.09,-0.000,-0.002,-9999.000,0.022,0.009,-9999.000,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,63.853027,25,0.870371,63.762547,64.726715,-0.964169,2.451404,2.450651,1.657528,0.930663,0.330294,0.068483,0.071676,2.011749,61.760902,0.000474,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103400,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
4,10:34:30,2022-04-14,gsw light adap,Shane,,ceol,031,001,0.384864,2.923981,0.340099,5.104903,1.059426,0.915016,2.557005,1.497579,9.007837,10.429474,25.172331,0.441786,PSF-00342_20220414103430,0.000000,0.000000,0.000000,73.252197,135.900101,0.460985,0.5,0.80,342.588593,44.16,38.14,20.36,21.39,101.58,157.0,156.8,0.1,1858,4.126,10:33:03,2022-04-14,-0.09,-0.002,-0.000,-9999.000,0.144,0.925,-9999.000,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,132.434250,25,-3.305932,132.721786,132.581573,0.140213,2.453591,2.460819,1.657893,0.939185,0.328419,0.013375,0.076365,1.849869,73.252197,0.000484,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103430,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
5,10:34:44,2022-04-14,gsw light adap,Shane,,ceol,031,002,0.183547,2.921220,0.172696,3.589574,1.024702,0.922911,3.093083,2.068381,9.086478,10.088655,30.452799,0.441786,PSF-00342_20220414103444,0.000000,0.000000,0.000000,80.455902,91.637131,0.122016,0.5,0.80,98.525131,42.54,38.32,20.42,24.54,101.57,156.6,155.2,0.9,2019,4.125,10:33:03,2022-04-14,-0.09,-0.001,-0.002,-0.025,-2.584,1.460,9.946,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,91.637131,25,6.460335,90.803864,98.122070,-7.318207,2.453830,2.458475,1.654933,0.934828,0.327582,0.049594,0.078325,2.000683,80.455902,0.000488,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103444,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
6,10:34:58,2022-04-14,gsw light adap,Shane,,ceol,031,003,0.408271,2.922654,0.358230,4.801458,1.079809,0.943861,2.417946,1.338137,9.291319,10.629589,23.802139,0.441786,PSF-00342_20220414103458,0.000000,0.000000,0.000000,65.774559,116.311508,0.434497,0.5,0.80,304.299469,44.65,39.03,20.49,20.48,101.59,156.8,157.2,-0.3,1751,4.124,10:33:03,2022-04-14,-0.09,-0.001,0.001,-9999.000,0.270,0.678,-9999.000,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,113.717438,25,-2.390287,113.562584,113.912117,-0.349533,2.454838,2.461496,1.656468,0.940179,0.326736,0.001468,0.080404,1.749455,65.774559,0.000479,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103458,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
7,10:35:28,2022-04-14,gsw light adap,Shane,,ceol,018,001,0.450722,2.921021,0.390471,6.124918,1.129660,0.956102,2.693128,1.563468,9.411888,11.120396,26.511213,0.441786,PSF-00342_20220414103528,0.000000,0.000000,0.000000,104.273560,209.235260,0.501644,0.5,0.80,407.191071,46.28,39.17,20.64,22.24,101.58,156.6,157.0,-0.2,2029,4.122,10:33:03,2022-04-14,-0.09,-0.002,-0.001,-0.007,1.152,1.939,11.543,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,201.166397,25,-7.692898,201.981064,201.513062,0.468002,2.454992,2.463778,1.654720,0.939568,0.324750,0.019994,0.084805,2.010621,104.273560,0.000484,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103528,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
8,10:35:46,2022-04-14,gsw light adap,Shane,,ceol,018,002,0.415930,2.918974,0.364055,6.715351,1.154784,0.964231,2.990421,1.835636,9.491701,11.367468,29.437113,0.441786,PSF-00342_20220414103546,0.000000,0.000000,0.000000,84.868309,129.411819,0.344200,0.5,0.80,282.522675,47.04,39.28,20.73,23.97,101.59,156.4,154.3,1.3,2052,4.123,10:33:03,2022-04-14,-0.09,0.001,0.002,0.007,-0.340,-0.123,-3.079,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,123.123764,25,-6.289402,122.596619,123.098465,-0.501846,2.455123,2.464838,1.652540,0.932731,0.323556,0.039294,0.087291,2.031957,84.868309,0.000489,2.390947,-0.000100,1.000000,2.387769,-0.000073,1.000000,0.601534,0.600729,0.107013,0.000000,PSF-00342_20220414103546,PFA-00370,PSA-00387,PSF-00342,RHS-00171,1.0.0,2022-03-31T18:26:44.181Z
