species,id,stomatal_conducatance,light_adapted_flourescence,date
ceol,24,0.094,0.36,3/7/2022
ceol,24,0.128,0.42,3/7/2022
ceol,24,0.091,0.37,3/7/2022
ceol,42,0.117,0.33,3/7/2022
ceol,42,0.285,0.46,3/7/2022
ceol,42,0.24,0.27,3/7/2022
ceol,6,0.157,0.32,3/7/2022
ceol,6,0.121,0.19,3/7/2022
ceol,6,0.135,0.18,3/7/2022
ceol,47,0.021,0.09,3/7/2022
ceol,47,0.118,0.09,3/7/2022
ceol,47,0.018,0.05,3/7/2022
ceol,43,0.121,0.19,3/7/2022
ceol,43,0.064,0.12,3/7/2022
ceol,43,0.143,0.3,3/7/2022
hear,21,0.033,0.34,3/7/2022
hear,21,0.036,0.23,3/7/2022
rhov,48,0.032,0.22,3/7/2022
rhov,48,0.056,0.18,3/7/2022
rhov,48,0.058,0.17,3/7/2022
rhov,44,0.041,0.34,3/7/2022
rhov,44,0.006,0.22,3/7/2022
rhov,44,0.065,0.29,3/7/2022
rhov,9,0.041,0.3,3/7/2022
rhov,9,0.043,0.26,3/7/2022
rhov,9,0.024,0.29,3/7/2022
rhov,10,0.052,0.43,3/7/2022
rhov,10,0.02,0.35,3/7/2022
rhov,10,0.022,0.23,3/7/2022
rhov,56,0.052,0.22,3/7/2022
rhov,56,0.06,0.21,3/7/2022
rhov,56,0.025,0.28,3/7/2022
ceol,1,0.031,0.16,3/7/2022
ceol,1,0.066,0.14,3/7/2022
ceol,1,0.111,0.38,3/7/2022
ceol,21,0.075,0.18,3/7/2022
ceol,21,0.104,0.18,3/7/2022
ceol,21,0.092,0.17,3/7/2022
ceol,17,0.238,0.47,3/7/2022
ceol,17,0.138,0.26,3/7/2022
ceol,17,0.183,0.38,3/7/2022
ceol,20,0.123,0.24,3/7/2022
ceol,20,0.091,0.24,3/7/2022
ceol,31,0.308,0.41,3/7/2022
ceol,31,0.215,0.31,3/7/2022
ceol,31,0.281,0.49,3/7/2022
ceol,28,0.179,0.4,3/7/2022
ceol,28,0.092,0.33,3/7/2022
ceol,28,0.067,0.62,3/7/2022
