species,id,height
ceol,49,38
ceol,33,20.8
ceol,39,29.7
ceol,44,25.2
ceol,28,21.5
ceol,42,33.9
ceol,31,14.7
ceol,43,44.2
ceol,47,25.9
ceol,45,24.5
ceol,26,18.5
ceol,35,29.3
ceol,36,28.3
ceol,30,20.3
ceol,6,17.2
ceol,25,35.7
ceol,24,22
ceol,18,30.6
ceol,5,22.8
ceol,29,26.3
ceol,4,21
ceol,3,22.2
ceol,17,23.2
ceol,40,30.5
ceol,41,32.7
ceol,20,42.1
ceol,1,23.7
ceol,12,18.2
ceol,10,20.8
ceol,21,26
ceol,15,25.4
ceol,2,22
ceol,7,22.4
ceol,16,21.6
ceol,19,18.1
ceol,13,24.5
ceol,9,22.2
ceol,8,26.7
ceol,14,21.3
hear,8,14.5
hear,6,15.6
hear,13,15.6
hear,12,12.4
hear,15,18.6
hear,9,19.2
hear,25,15.3
hear,18,21.3
rhov,14,20.2
rhov,48,26.2
rhov,25,25.5
rhov,30,21.4
rhov,44,21
hear,16,14.3
hear,23,21.4
hear,14,17.6
hear,10,14
hear,22,23.9
hear,7,5.2
hear,24,15.4
hear,20,19.3
hear,4,16
hear,2,18.2
hear,3,19.9
hear,21,19
hear,1,16.9
rhov,47,17.4
rhov,46,22.5
rhov,40,10.6
rhov,51,20.4
ceol,36,14
hear,5,12.2
hear,17,15.5
hear,11,15.1
rhov,49,15.1
rhov,42,14.3
rhov,56,15.3
rhov,10,14.9
rhov,38,14.3
rhov,15,13.6
rhov,2,13.6
rhov,16,11.7
rhov,21,9.6
rhov,9,8.4
rhov,22,12.6
rhov,35,11.3
rhov,26,11.1
rhov,12,12.3
rhov,6,14.6
rhov,5,15.3
rhov,8,15.7
rhov,18,13.7
rhov,20,13.5
rhov,13,14
rhov,33,7.7
rhov,37,13.4
rhov,23,11
rhov,36,13
rhov,41,10.4
rhov,7,17
rhov,24,17.3
rhov,27,10
rhov,17,15.6
rhov,45,18.4
rhov,31,13.8
rhov,14,16
rhov,19,9
rhov,39,16.6
rhov,11,10
rhov,28,13.7
rhov,34,11.3
rhov,3,16.5
rhov,27,9.7
rhov,24,17
rhov,32,12.3
rhov,45,18.6
rhov,29,18.4
rhov,1,15.7
rhov,43,16
rhov,18,13.7
