species,id,soil_moisture,treatment,date
ceol,35,33,wet,3/13/2022
hear,9,27,wet,3/13/2022
rhov,22,35,wet,3/13/2022
ceol,42,30,wet,3/13/2022
ceol,26,32,wet,3/13/2022
ceol,28,36,wet,3/13/2022
rhov,25,33,wet,3/13/2022
rhov,14,38,wet,3/13/2022
ceol,47,35,wet,3/13/2022
ceol,5,30,wet,3/13/2022
ceol,31,36,wet,3/13/2022
ceol,45,36,wet,3/13/2022
rhov,30,31,wet,3/13/2022
rhov,5,40,wet,3/13/2022
rhov,23,35,wet,3/13/2022
ceol,4,35,wet,3/13/2022
ceol,18,42,wet,3/13/2022
rhov,36,43,wet,3/13/2022
rhov,6,35,wet,3/13/2022
rhov,51,28,wet,3/13/2022
ceol,6,31,wet,3/13/2022
rhov,2,30,wet,3/13/2022
hear,23,31,wet,3/13/2022
rhov,37,38,wet,3/13/2022
rhov,16,38,wet,3/13/2022
rhov,7,46,wet,3/13/2022
rhov,8,33,wet,3/13/2022
ceol,25,39,wet,3/13/2022
rhov,12,44,wet,3/13/2022
rhov,45,51,wet,3/13/2022
ceol,43,42,wet,3/13/2022
ceol,30,37,wet,3/13/2022
hear,4,35,wet,3/13/2022
hear,3,34,wet,3/13/2022
hear,21,32,wet,3/13/2022
hear,24,33,wet,3/13/2022
rhov,10,42,wet,3/13/2022
rhov,50,39,wet,3/13/2022
rhov,21,41,wet,3/13/2022
hear,20,30,wet,3/13/2022
rhov,44,45,wet,3/13/2022
rhov,9,38,wet,3/13/2022
rhov,48,54,wet,3/13/2022
hear,2,39,wet,3/13/2022
ceol,29,37,wet,3/13/2022
rhov,35,37,wet,3/13/2022
ceol,24,25,wet,3/13/2022
hear,15,31,wet,3/13/2022
rhov,18,39,wet,3/13/2022
ceol,8,33,drought,3/13/2022
ceol,15,27,drought,3/13/2022
ceol,9,22,drought,3/13/2022
ceol,7,27,drought,3/13/2022
ceol,21,35,drought,3/13/2022
hear,6,31,drought,3/13/2022
rhov,42,44,drought,3/13/2022
ceol,20,33,drought,3/13/2022
ceol,10,25,drought,3/13/2022
ceol,14,33,drought,3/13/2022
rhov,47,36,drought,3/13/2022
rhov,46,37,drought,3/13/2022
rhov,40,36,drought,3/13/2022
ceol,12,30,drought,3/13/2022
rhov,33,29,drought,3/13/2022
rhov,27,40,drought,3/13/2022
ceol,3,27,drought,3/13/2022
rhov,3,38,drought,3/13/2022
rhov,20,39,drought,3/13/2022
rhov,15,38,drought,3/13/2022
hear,12,37,drought,3/13/2022
hear,18,28,drought,3/13/2022
hear,16,24,drought,3/13/2022
hear,38,47,drought,3/13/2022
rhov,34,40,drought,3/13/2022
rhov,32,38,drought,3/13/2022
ceol,17,35,drought,3/13/2022
hear,10,31,drought,3/13/2022
rhov,31,32,drought,3/13/2022
rhov,39,41,drought,3/13/2022
rhov,24,29,drought,3/13/2022
ceol,40,36,drought,3/13/2022
rhov,28,31,drought,3/13/2022
ceol,1,34,drought,3/13/2022
hear,8,32,drought,3/13/2022
rhov,11,36,drought,3/13/2022
ceol,41,36,drought,3/13/2022
hear,25,32,drought,3/13/2022
ceol,19,39,drought,3/13/2022
ceol,13,39,drought,3/13/2022
ceol,16,30,drought,3/13/2022
rhov,41,45,drought,3/13/2022
rhov,19,38,drought,3/13/2022
rhov,1,41,drought,3/13/2022
ceol,19,33,drought,3/13/2022
hear,22,37,drought,3/13/2022
hear,13,41,drought,3/13/2022
ceol,2,43,drought,3/13/2022
rhov,17,38,drought,3/13/2022
rhov,14,41,drought,3/13/2022
ceol,8,41,drought,3/11/2022
ceol,15,28,drought,3/11/2022
ceol,9,26,drought,3/11/2022
ceol,7,25,drought,3/11/2022
rhov,17,32,drought,3/11/2022
rhov,18,49,drought,3/11/2022
ceol,2,51,drought,3/11/2022
ceol,19,34,drought,3/11/2022
ceol,10,27,drought,3/11/2022
rhov,47,40,drought,3/11/2022
rhov,46,43,drought,3/11/2022
rhov,40,31,drought,3/11/2022
rhov,4,42,drought,3/11/2022
rhov,33,31,drought,3/11/2022
rhov,27,32,drought,3/11/2022
ceol,3,35,drought,3/11/2022
rhov,3,42,drought,3/11/2022
rhov,20,42,drought,3/11/2022
rhov,15,42,drought,3/11/2022
rhov,1,45,drought,3/11/2022
rhov,19,42,drought,3/11/2022
hear,12,41,drought,3/11/2022
hear,22,37,drought,3/11/2022
rhov,42,46,drought,3/11/2022
rhov,39,53,drought,3/11/2022
rhov,31,33,drought,3/11/2022
rhov,38,53,drought,3/11/2022
rhov,34,47,drought,3/11/2022
rhov,24,33,drought,3/11/2022
rhov,32,45,drought,3/11/2022
hear,16,27,drought,3/11/2022
hear,6,31,drought,3/11/2022
rhov,11,39,drought,3/11/2022
rhov,28,30,drought,3/11/2022
hear,13,44,drought,3/11/2022
hear,10,28,drought,3/11/2022
hear,8,27,drought,3/11/2022
hear,25,29,drought,3/11/2022
hear,18,32,drought,3/11/2022
hear,14,44,drought,3/11/2022
ceol,40,37,drought,3/11/2022
ceol,41,41,drought,3/11/2022
ceol,17,43,drought,3/11/2022
ceol,14,39,drought,3/11/2022
ceol,20,34,drought,3/11/2022
ceol,21,42,drought,3/11/2022
ceol,12,34,drought,3/11/2022
rhov,41,54,drought,3/11/2022
ceol,1,40,drought,3/11/2022
ceol,16,35,drought,3/11/2022
ceol,13,37,drought,3/11/2022
rhov,22,52,wet,3/11/2022
ceol,35,42,wet,3/11/2022
rhov,45,49,wet,3/11/2022
hear,15,15,wet,3/11/2022
hear,21,36,wet,3/11/2022
ceol,18,56,wet,3/11/2022
ceol,25,40,wet,3/11/2022
ceol,6,36,wet,3/11/2022
ceol,28,49,wet,3/11/2022
hear,4,38,wet,3/11/2022
hear,3,36,wet,3/11/2022
ceol,30,41,wet,3/11/2022
ceol,12,13,wet,3/11/2022
hear,9,31,wet,3/11/2022
ceol,43,49,wet,3/11/2022
rhov,10,50,wet,3/11/2022
rhov,50,53,wet,3/11/2022
ceol,31,44,wet,3/11/2022
rhov,1,21,wet,3/11/2022
hear,2,43,wet,3/11/2022
hear,23,33,wet,3/11/2022
hear,20,31,wet,3/11/2022
hear,24,38,wet,3/11/2022
ceol,42,38,wet,3/11/2022
ceol,45,51,wet,3/11/2022
rhov,30,45,wet,3/11/2022
rhov,48,57,wet,3/11/2022
rhov,44,55,wet,3/11/2022
ceol,26,39,wet,3/11/2022
ceol,29,50,wet,3/11/2022
rhov,25,39,wet,3/11/2022
rhov,14,49,wet,3/11/2022
ceol,47,40,wet,3/11/2022
ceol,24,27,wet,3/11/2022
ceol,5,34,wet,3/11/2022
ceol,36,47,wet,3/11/2022
rhov,7,59,wet,3/11/2022
rhov,35,43,wet,3/11/2022
rhov,8,53,wet,3/11/2022
rhov,36,50,wet,3/11/2022
rhov,16,51,wet,3/11/2022
rhov,37,48,wet,3/11/2022
rhov,51,31,wet,3/11/2022
rhov,9,48,wet,3/11/2022
rhov,2,38,wet,3/11/2022
rhov,12,54,wet,3/11/2022
ceol,35,45,,3/15/2022
hear,9,44,,3/15/2022
rhov,22,42,,3/15/2022
ceol,42,44,,3/15/2022
ceol,26,47,,3/15/2022
hear,4,44,,3/15/2022
rhov,25,42,,3/15/2022
rhov,14,48,,3/15/2022
ceol,47,47,,3/15/2022
ceol,5,47,,3/15/2022
rhov,56,42,,3/15/2022
rhov,30,40,,3/15/2022
ceol,4,40,,3/15/2022
rhov,9,41,,3/15/2022
ceol,45,42,,3/15/2022
rhov,36,24,,3/15/2022
rhov,23,23,,3/15/2022
rhov,6,27,,3/15/2022
rhov,51,43,,3/15/2022
ceol,6,42,,3/15/2022
rhov,2,48,,3/15/2022
hear,23,47,,3/15/2022
rhov,37,20,,3/15/2022
rhov,16,21,,3/15/2022
rhov,7,22,,3/15/2022
rhov,8,42,,3/15/2022
rhov,10,43,,3/15/2022
rhov,12,47,,3/15/2022
rhov,45,53,,3/15/2022
ceol,43,44,,3/15/2022
ceol,30,57,,3/15/2022
rhov,21,46,,3/15/2022
ceol,29,41,,3/15/2022
rhov,44,44,,3/15/2022
ceol,18,43,,3/15/2022
ceol,28,43,,3/15/2022
ceol,31,45,,3/15/2022
hear,15,42,,3/15/2022
hear,3,44,,3/15/2022
rhov,9,43,,3/15/2022
rhov,48,41,,3/15/2022
rhov,35,41,,3/15/2022
hear,24,47,,3/15/2022
ceol,25,43,,3/15/2022
ceol,24,42,,3/15/2022
hear,2,42,,3/15/2022
hear,20,47,,3/15/2022
hear,21,49,,3/15/2022
rhov,18,48,,3/15/2022
ceol,8,43,,3/15/2022
ceol,19,40,,3/15/2022
ceol,2,41,,3/15/2022
ceol,15,23,,3/15/2022
ceol,9,22,,3/15/2022
ceol,7,21,,3/15/2022
rhov,34,24,,3/15/2022
rhov,38,42,,3/15/2022
ceol,10,53,,3/15/2022
rhov,47,36,,3/15/2022
rhov,46,30,,3/15/2022
rhov,40,35,,3/15/2022
rhov,39,30,,3/15/2022
rhov,33,40,,3/15/2022
rhov,27,29,,3/15/2022
ceol,3,40,,3/15/2022
rhov,3,41,,3/15/2022
rhov,20,38,,3/15/2022
rhov,15,37,,3/15/2022
hear,12,37,,3/15/2022
hear,18,38,,3/15/2022
hear,16,25,,3/15/2022
rhov,24,29,,3/15/2022
hear,13,39,,3/15/2022
rhov,31,23,,3/15/2022
ceol,21,33,,3/15/2022
rhov,17,24,,3/15/2022
rhov,32,34,,3/15/2022
ceol,40,20,,3/15/2022
rhov,28,25,,3/15/2022
ceol,20,28,,3/15/2022
rhov,11,29,,3/15/2022
hear,14,35,,3/15/2022
ceol,41,29,,3/15/2022
hear,25,28,,3/15/2022
ceol,17,28,,3/15/2022
rhov,14,36,,3/15/2022
ceol,1,27,,3/15/2022
rhov,41,35,,3/15/2022
ceol,16,24,,3/15/2022
ceol,13,30,,3/15/2022
ceol,19,30,,3/15/2022
hear,8,28,,3/15/2022
hear,6,29,,3/15/2022
hear,10,26,,3/15/2022
hear,22,31,,3/15/2022
rhov,42,54,,3/15/2022
rhov,19,31,drought,3/15/2022
rhov,1,36,drought,3/15/2022
ceol,12,29,drought,3/15/2022
rhov,19,30,drought,3/17/2022
rhov,1,33,drought,3/17/2022
ceol,17,26,drought,3/17/2022
ceol,21,27,drought,3/17/2022
hear,16,19,drought,3/17/2022
hear,10,24,drought,3/17/2022
rhov,38,37,drought,3/17/2022
ceol,41,25,drought,3/17/2022
ceol,1,26,drought,3/17/2022
rhov,34,36,drought,3/17/2022
hear,8,25,drought,3/17/2022
hear,6,26,drought,3/17/2022
ceol,20,24,drought,3/17/2022
rhov,24,24,drought,3/17/2022
ceol,12,25,drought,3/17/2022
hear,12,27,drought,3/17/2022
rhov,39,42,drought,3/17/2022
rhov,28,23,drought,3/17/2022
hear,18,21,drought,3/17/2022
rhov,11,29,drought,3/17/2022
hear,14,30,drought,3/17/2022
rhov,42,41,drought,3/17/2022
ceol,40,28,drought,3/17/2022
ceol,35,38,wet,3/17/2022
hear,24,34,wet,3/17/2022
rhov,22,52,wet,3/17/2022
ceol,42,43,wet,3/17/2022
ceol,26,30,wet,3/17/2022
ceol,8,26,drought,3/17/2022
ceol,19,25,drought,3/17/2022
ceol,2,29,drought,3/17/2022
ceol,10,21,drought,3/17/2022
rhov,18,30,drought,3/17/2022
ceol,7,21,drought,3/17/2022
ceol,9,21,drought,3/17/2022
ceol,15,23,drought,3/17/2022
rhov,27,28,drought,3/17/2022
rhov,33,23,drought,3/17/2022
rhov,40,27,drought,3/17/2022
rhov,46,27,drought,3/17/2022
rhov,47,26,drought,3/17/2022
rhov,32,24,drought,3/17/2022
ceol,3,22,drought,3/17/2022
