flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00338_20230404123310,12:33:10,2023-04-04,PFA-00366,PSA-00383,PSF-00338,0.000000,0.000000,0.000000,155.699127,66.138268,0.575217,1744.873169

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,104.694839,6990.941895,1
0.010000,125.895020,6990.941895,1
0.020000,129.348633,6990.941895,1
0.030000,131.006958,6990.941895,1
0.040000,132.016891,6990.941895,1
0.050000,132.814056,6990.941895,1
0.060000,133.522156,6990.941895,1
0.070000,134.256363,6990.941895,1
0.080000,135.042068,6990.941895,1
0.090000,135.864609,6990.941895,1
0.100000,136.721848,6990.941895,1
0.110000,137.548325,6990.941895,1
0.120000,138.317947,6990.941895,1
0.130000,139.014603,6990.941895,1
0.140000,139.621857,6990.941895,1
0.150000,140.144699,6990.941895,1
0.160000,140.565628,6990.941895,1
0.170000,140.922546,6990.941895,1
0.180000,141.210083,6990.941895,1
0.190000,141.452545,6990.941895,1
0.200000,141.638519,6990.941895,1
0.210000,141.772980,6990.941895,1
0.220000,141.891357,6990.941895,1
0.230000,141.971832,6990.941895,1
0.240000,142.036194,6990.941895,1
0.250000,142.089127,6990.941895,1
0.260000,142.123108,6990.941895,1
0.270000,142.140991,6990.941895,1
0.280000,142.153137,6990.941895,1
0.290000,142.147781,6990.941895,1
0.300000,142.140625,6932.687988,2
0.310000,142.011887,6874.433594,2
0.320000,141.970032,6816.179199,2
0.330000,141.812317,6757.924805,2
0.340000,141.775482,6699.670410,2
0.350000,141.615982,6641.416504,2
0.360000,141.541962,6583.162109,2
0.370000,141.386383,6524.907715,2
0.380000,141.194336,6466.653320,2
0.390000,141.124603,6408.399414,2
0.400000,140.964752,6350.145020,2
0.410000,140.898224,6291.890625,2
0.420000,140.712616,6233.636230,2
0.430000,140.650391,6175.381836,2
0.440000,140.453690,6117.127930,2
0.450000,140.252716,6058.873535,2
0.460000,140.185837,6000.619141,2
0.470000,139.991638,5942.364746,2
0.480000,139.784210,5884.110840,2
0.490000,139.710190,5825.856445,2
0.500000,139.516357,5767.602051,2
0.510000,139.295334,5709.347656,2
0.520000,139.209869,5651.093262,2
0.530000,139.016388,5592.839355,2
0.540000,138.803604,5534.584961,2
0.550000,138.564713,5476.330566,2
0.560000,138.351196,5418.076172,2
0.570000,138.255722,5359.822266,2
0.580000,138.057236,5301.567871,2
0.590000,137.824417,5243.313477,2
0.600000,140.368225,6990.941895,3
0.610000,140.652542,6990.941895,3
0.620000,140.718338,6990.941895,3
0.630000,140.748016,6990.941895,3
0.640000,140.768051,6990.941895,3
0.650000,140.740158,6990.941895,3
0.660000,140.729065,6990.941895,3
0.670000,140.695816,6990.941895,3
0.680000,140.671494,6990.941895,3
0.690000,140.638596,6990.941895,3
0.700000,140.611404,6990.941895,3
0.710000,140.571350,6990.941895,3
0.720000,140.526657,6990.941895,3
0.730000,140.514130,6990.941895,3
0.740000,140.468719,6990.941895,3
0.750000,140.446899,6990.941895,3
0.760000,140.410431,6990.941895,3
0.770000,140.371445,6990.941895,3
0.780000,140.347122,6990.941895,3
0.790000,140.309937,6990.941895,3
0.800000,140.280609,6990.941895,3
0.810000,140.237686,6990.941895,3
0.820000,140.208008,6990.941895,3
0.830000,140.186554,6990.941895,3
0.839999,140.152573,6990.941895,3
0.849999,140.122894,6990.941895,3
0.859999,140.077469,6990.941895,3
0.869999,140.039917,6990.941895,3
0.879999,140.014175,6990.941895,3
0.889999,139.973755,6990.941895,3
