flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00338_20230302134726,13:47:26,2023-03-02,PFA-00366,PSA-00383,PSF-00338,0.000000,0.000000,0.000000,302.147400,72.076324,0.761453,498.241791

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,162.179230,9987.059570,1
0.010000,226.100922,9987.059570,1
0.020000,257.431976,9987.059570,1
0.030000,272.604706,9987.059570,1
0.040000,279.929291,9987.059570,1
0.050000,283.968323,9987.059570,1
0.060000,286.517853,9987.059570,1
0.070000,288.294556,9987.059570,1
0.080000,289.514435,9987.059570,1
0.090000,290.551910,9987.059570,1
0.100000,291.444183,9987.059570,1
0.110000,292.080750,9987.059570,1
0.120000,292.494904,9987.059570,1
0.130000,292.671906,9987.059570,1
0.140000,292.750610,9987.059570,1
0.150000,292.923340,9987.059570,1
0.160000,293.177246,9987.059570,1
0.170000,293.605316,9987.059570,1
0.180000,294.123535,9987.059570,1
0.190000,294.766174,9987.059570,1
0.200000,295.418152,9987.059570,1
0.210000,295.855164,9987.059570,1
0.220000,296.104797,9987.059570,1
0.230000,296.467072,9987.059570,1
0.240000,296.864746,9987.059570,1
0.250000,297.237396,9987.059570,1
0.260000,297.489868,9987.059570,1
0.270000,297.617188,9987.059570,1
0.280000,297.698029,9987.059570,1
0.290000,297.825348,9987.059570,1
0.300000,298.015594,9903.843750,2
0.310000,298.244843,9820.626953,2
0.320000,298.437592,9737.410156,2
0.330000,298.627502,9654.193359,2
0.340000,298.814880,9570.977539,2
0.350000,298.875336,9487.760742,2
0.360000,298.939697,9404.543945,2
0.370000,298.914307,9321.327148,2
0.380000,298.411499,9238.110352,2
0.390000,297.034607,9154.894531,2
0.400000,295.928467,9071.677734,2
0.410000,295.634857,8988.460938,2
0.420000,295.844788,8905.244141,2
0.430000,296.114441,8822.028320,2
0.440000,296.409485,8738.811523,2
0.450000,296.606537,8655.594727,2
0.460000,296.963806,8572.377930,2
0.470000,297.039642,8489.161133,2
0.480000,297.275299,8405.945312,2
0.490000,297.381531,8322.728516,2
0.500000,297.640442,8239.511719,2
0.510000,297.500244,8156.294922,2
0.520000,297.517059,8073.078613,2
0.530000,297.095764,7989.861816,2
0.540000,296.902313,7906.645508,2
0.550000,296.650879,7823.428711,2
0.560000,296.777496,7740.212402,2
0.570000,296.810028,7656.995605,2
0.580000,297.366150,7573.778809,2
0.590000,297.685852,7490.562500,2
0.600000,300.891998,9987.059570,3
0.610000,302.083252,9987.059570,3
0.620000,302.562469,9987.059570,3
0.630000,303.033112,9987.059570,3
0.640000,303.427582,9987.059570,3
0.650000,303.486572,9987.059570,3
0.660000,302.925476,9987.059570,3
0.670000,302.400116,9987.059570,3
0.680000,302.194122,9987.059570,3
0.690000,302.254913,9987.059570,3
0.700000,302.456970,9987.059570,3
0.710000,302.829987,9987.059570,3
0.720000,303.921448,9987.059570,3
0.730000,304.178955,9987.059570,3
0.740000,304.381378,9987.059570,3
0.750000,304.497253,9987.059570,3
0.760000,304.578796,9987.059570,3
0.770000,304.720032,9987.059570,3
0.780000,304.856659,9987.059570,3
0.790000,304.955017,9987.059570,3
0.800000,305.156342,9987.059570,3
0.810000,305.356628,9987.059570,3
0.820000,305.574402,9987.059570,3
0.830000,305.825104,9987.059570,3
0.839999,306.076172,9987.059570,3
0.849999,306.206360,9987.059570,3
0.859999,306.256409,9987.059570,3
0.869999,306.322571,9987.059570,3
0.879999,306.307922,9987.059570,3
0.889999,306.042542,9987.059570,3
