"","SLA_m2kg","leaf_LDMC_percent","leaf_thickness_cm"
"1",19.28446771,34.35251799,0.009
"2",16.30543933,40.47417443,0.011
"3",27.42028986,26.8134715,0.014
"4",17.5174538,39.0224359,0.021
"5",16.85596708,37.90951638,0.012
"6",18.72072072,34.63338534,0.011
"7",12.20717131,44.11247803,0.019
"8",23.12582781,30.8793456,0.01
"9",19.70036101,34.19753086,0.019
"10",17.34782609,35.43913713,0.02
"11",13.31889764,40.90177134,0.02
"12",21.9704142,31.23844732,0.013
"13",17.54545455,37.36730361,0.018
"14",23.10714286,34.7107438,0.019
"15",13.35353535,40.08097166,0.023
"16",11.6875,46.51162791,0.02
"17",7.2141,45.04504505,0.031
"18",6.5612,43.52941176,0.035
"19",6.5435,43.75,0.035
"20",7.0542,45.71428571,0.031
"21",5.76,49.45848375,0.035
"22",6.3591,50,0.031
"23",6.15,50.15015015,0.032
"24",5.9059,50.34013605,0.034
"25",6.2551,43.40044743,0.037
"26",5.2434,45,0.042
"27",7.0556,46.27659574,0.031
"28",10.5267,41.73913043,0.023
"29",6.4038,47.25274725,0.033
"30",6.1733,47.44897959,0.034
"31",5.9088,48.97959184,0.035
"32",6.2089,46.36015326,0.035
"33",7.202797203,31.47468819,0.046
"34",4.951399116,40.22511848,0.053
"35",5.537662338,38.27037773,0.055
"36",8.448392555,29.11330049,0.047
"37",5.350393701,39.47163947,0.061
"38",4.684745763,40.08152174,0.053
"39",4.134693878,44.14414414,0.058
"40",5.039106145,45.08816121,0.05
"41",8.291457286,29.45031712,0.038
"42",5.872727273,35.16457495,0.046
"43",6.181727905,39.16763905,0.043
"44",7.839203675,29.84460695,0.044
"45",4.940594059,35.58426307,0.055
"46",3.823280423,40.61022776,0.061
"47",4.046031746,43.35856848,0.049
"48",4.39738806,38.36793128,0.049
"49",17.8917,27.45098039,0.02
"50",17.5357,23.45679012,0.024
"51",18.35,24.07407407,0.023
"52",15.4556,24.3902439,0.027
"53",21.1429,16.66666667,0.028
"54",15.5375,23.68421053,0.027
"55",34.1286,14.0625,0.021
"56",20.6833,19.51219512,0.025
"57",15.1,20,0.033
"58",15.5556,22.44897959,0.029
"59",12.9133,23.61111111,0.033
"60",9.2625,30.50847458,0.035
"61",17.0833,18.42105263,0.032
"62",25.975,14.28571429,0.027
"63",19.9286,17.39130435,0.029
"64",16.4167,16.66666667,0.037
