"","plot_number","location","species","may_stem_height_cm","may_volume_cm3","nov_alive","site","treatment","normalized_par","exotic_percentcover","year","mafacover"
"1","1","top","CEOL",2.93,9.74273750604165,1,"1","none",0.148347425057648,40,2019,70
"2","1","top","HEAR",7.82,231.317079768045,0,"1","none",0.148347425057648,40,2019,70
"3","1","top","RHOV",0.54,0.911847267704437,0,"1","none",0.148347425057648,40,2019,70
"4","1","top","SAAP",3.45,14.7161467592474,0,"1","none",0.148347425057648,40,2019,70
"5","1","middle","HEAR",6.59,87.4788600939721,1,"1","none",0.148347425057648,40,2019,70
"6","1","bottom","CEOL",7.04,36.979310134287,0,"1","none",0.148347425057648,40,2019,70
"7","1","bottom","HEAR",7.28,94.6645055900072,0,"1","none",0.148347425057648,40,2019,70
"8","1","bottom","RHOV",5.43,59.8481254490489,1,"1","none",0.148347425057648,40,2019,70
"9","2","top","CEOL",5.88,64.3103871055401,0,"1","full",0.230496453900709,43,2019,25
"10","2","top","HEAR",10.15,348.432651054895,0,"1","full",0.230496453900709,43,2019,25
"11","2","top","RHOV",2.4,0.0955044166691297,0,"1","full",0.230496453900709,43,2019,25
"12","2","top","SAAP",12.92,775.893679042267,1,"1","full",0.230496453900709,43,2019,25
"13","2","middle","HEAR",6.9,116.802844064142,0,"1","full",0.230496453900709,43,2019,25
"14","2","middle","SAAP",10.07,162.687297026331,1,"1","full",0.230496453900709,43,2019,25
"15","2","bottom","CEOL",3.49,4.5588970465156,0,"1","full",0.230496453900709,43,2019,25
"16","2","bottom","HEAR",5.64,67.0459351918388,0,"1","full",0.230496453900709,43,2019,25
"17","2","bottom","RHOV",3.75,20.2779988312179,0,"1","full",0.230496453900709,43,2019,25
"18","2","bottom","SAAP",7.37,124.43290082775,0,"1","full",0.230496453900709,43,2019,25
"19","3","top","CEOL",3.25,16.3449604483725,0,"1","full",0.149560117302053,27,2019,23
"20","3","top","HEAR",4.59,50.5862469213498,0,"1","full",0.149560117302053,27,2019,23
"21","3","top","RHOV",3.05,18.0825622551036,0,"1","full",0.149560117302053,27,2019,23
"22","3","top","SAAP",12.89,279.354974590151,1,"1","full",0.149560117302053,27,2019,23
"23","3","middle","HEAR",7.05,126.391817364951,1,"1","full",0.149560117302053,27,2019,23
"24","3","middle","RHOV",1.52,2.7350077323622,0,"1","full",0.149560117302053,27,2019,23
"25","3","middle","SAAP",5.06,64.8395360281598,1,"1","full",0.149560117302053,27,2019,23
"26","3","bottom","CEOL",0.71,0.186695426624881,0,"1","full",0.149560117302053,27,2019,23
"27","3","bottom","HEAR",9.3,112.24904268091,0,"1","full",0.149560117302053,27,2019,23
"28","3","bottom","RHOV",1.05,2.61848606084056,0,"1","full",0.149560117302053,27,2019,23
"29","3","bottom","SAAP",6.89,33.3226387043755,0,"1","full",0.149560117302053,27,2019,23
