"","date","year","site","plot_number","treatment","nncover","mafacover"
"1",2018-05-26,"2018","1","1","none",22,42
"2",2018-05-26,"2018","1","2","full",48,10
"3",2018-06-04,"2018","1","3","full",63,9
"4",2018-06-04,"2018","1","4","half",39.5,23
"5",2018-05-26,"2018","1","5","half",38,12
"6",2018-05-26,"2018","1","6","none",43,35
"7",2018-06-04,"2018","1","7","none",25,28
"8",2018-05-26,"2018","1","8","half",50,17
"9",2018-05-26,"2018","1","9","full",43,15
"10",2018-05-26,"2018","1","10","half",31.1,27
"11",2018-05-26,"2018","1","11","none",22.45,23
"12",2018-05-26,"2018","1","12","full",17,28
"13",2018-05-26,"2018","1","13","full",50.8,3.5
"14",2018-05-26,"2018","1","14","none",35,35
"15",2018-05-26,"2018","1","15","half",20,23
"16",2018-05-26,"2018","1","16","full",42.25,6
"17",2018-05-26,"2018","1","17","half",32.5,32
"18",2018-05-26,"2018","1","18","none",36,41
"19",2018-06-09,"2018","2","19","full",43.5,0
"20",2018-06-09,"2018","2","20","none",33,27
"21",2018-06-09,"2018","2","21","half",32,23
"22",2018-06-09,"2018","2","22","full",44.85,2
"23",2018-06-09,"2018","2","23","half",28.2,20
"24",2018-06-09,"2018","2","24","none",33.2,28
"25",2018-06-09,"2018","2","25","none",25.85,10
"26",2018-06-09,"2018","2","26","half",39.75,11
"27",2018-05-04,"2018","2","27","full",58.5,2.25
"28",2018-06-10,"2018","2","28","half",44.1,0
"29",2018-05-04,"2018","2","29","none",38.75,13.5
"30",2018-05-04,"2018","2","30","full",28.13,11
"31",2018-06-10,"2018","2","31","none",18.1,12
"32",2018-06-10,"2018","2","32","half",9.5,7
"33",2018-06-10,"2018","2","33","full",64.2,0
"34",2018-06-10,"2018","2","34","half",18.5,4.75
"35",2018-06-10,"2018","2","35","full",31.1,2.5
"36",2018-06-10,"2018","2","36","none",47.6,6
"37",2019-06-12,"2019","1","1","none",40,70
"38",2019-05-15,"2019","1","2","full",43,25
"39",2019-05-15,"2019","1","3","full",27,23
"40",2019-06-12,"2019","1","4","half",30,43
"41",2019-05-15,"2019","1","5","half",57,35
"42",2019-06-12,"2019","1","6","none",40,73
"43",2019-06-12,"2019","1","7","none",35,60
"44",2019-06-12,"2019","1","8","half",40,25
"45",2019-06-12,"2019","1","9","full",44,38
"46",2019-06-12,"2019","1","10","half",32,40
"47",2019-06-12,"2019","1","11","none",8,40
"48",2019-06-12,"2019","1","12","full",21,40
"49",2019-06-12,"2019","1","13","full",46,1
"50",2019-06-12,"2019","1","14","none",23,40
"51",2019-06-12,"2019","1","15","half",20,45
"52",2019-06-12,"2019","1","16","full",43,35
"53",2019-06-12,"2019","1","17","half",41,60
"54",2019-06-12,"2019","1","18","none",55,45
"55",2019-06-12,"2019","2","19","full",91,0
"56",2019-06-12,"2019","2","20","none",42,42
"57",2019-06-12,"2019","2","21","half",17,65
"58",2019-06-12,"2019","2","22","full",41,5
"59",2019-06-12,"2019","2","23","half",23,35
"60",2019-06-12,"2019","2","24","none",41,55
"61",2019-06-12,"2019","2","25","none",38,10
"62",2019-06-12,"2019","2","26","half",42,16
"63",2019-06-12,"2019","2","27","full",60,3
"64",2019-06-12,"2019","2","28","half",16,0
"65",2019-06-12,"2019","2","29","none",46,15
"66",2019-06-12,"2019","2","30","full",22,3
"67",2019-06-12,"2019","2","31","none",55,30
"68",2019-06-12,"2019","2","32","half",35,20
"69",2019-06-12,"2019","2","33","full",72,0
"70",2019-06-12,"2019","2","34","half",33,15
"71",2019-06-12,"2019","2","35","full",32,15
"72",2019-06-12,"2019","2","36","none",61,0
