"","year","plot_number","quad_rep","nn_grassheight_cm","MAFA_removal","exo_coverpercent","site","MAFA_coverpercent"
"1","2018","1","1",17.1,"none",22,"1",42
"2","2018","1","2",16.1,"none",22,"1",42
"3","2018","1","3",6.5,"none",22,"1",42
"4","2018","1","4",10.5,"none",22,"1",42
"5","2018","1","5",17.4,"none",22,"1",42
"6","2018","2","1",17,"full",48,"1",10
"7","2018","2","2",21,"full",48,"1",10
"8","2018","2","3",17.5,"full",48,"1",10
"9","2018","2","4",17.8,"full",48,"1",10
"10","2018","2","5",10.9,"full",48,"1",10
"11","2018","3","1",25.6,"full",63,"1",9
"12","2018","3","2",17.3,"full",63,"1",9
"13","2018","3","3",11,"full",63,"1",9
"14","2018","3","4",15,"full",63,"1",9
"15","2018","3","5",21.9,"full",63,"1",9
"16","2018","4","1",18.3,"half",39.5,"1",23
"17","2018","4","2",22,"half",39.5,"1",23
"18","2018","4","3",23.6,"half",39.5,"1",23
"19","2018","4","4",17.5,"half",39.5,"1",23
"20","2018","4","5",13,"half",39.5,"1",23
"21","2018","5","1",12.5,"half",38,"1",12
"22","2018","5","2",18.5,"half",38,"1",12
"23","2018","5","3",13.25,"half",38,"1",12
"24","2018","5","4",11.2,"half",38,"1",12
"25","2018","5","5",20.5,"half",38,"1",12
"26","2018","6","1",17.8,"none",43,"1",35
"27","2018","6","2",26.2,"none",43,"1",35
"28","2018","6","3",21.7,"none",43,"1",35
"29","2018","6","4",14,"none",43,"1",35
"30","2018","6","5",13,"none",43,"1",35
"31","2018","7","1",14.2,"none",25,"1",28
"32","2018","7","2",8.4,"none",25,"1",28
"33","2018","7","3",4.5,"none",25,"1",28
"34","2018","7","4",12,"none",25,"1",28
"35","2018","7","5",16.5,"none",25,"1",28
"36","2018","8","1",7.25,"half",50,"1",17
"37","2018","8","2",12,"half",50,"1",17
"38","2018","8","3",31.6,"half",50,"1",17
"39","2018","8","4",14.2,"half",50,"1",17
"40","2018","8","5",13.4,"half",50,"1",17
"41","2018","9","1",13.5,"full",43,"1",15
"42","2018","9","2",14.2,"full",43,"1",15
"43","2018","9","3",9.3,"full",43,"1",15
"44","2018","9","4",10.5,"full",43,"1",15
"45","2018","9","5",11.6,"full",43,"1",15
"46","2018","10","1",14.4,"half",31.1,"1",27
"47","2018","10","2",8.1,"half",31.1,"1",27
"48","2018","10","3",7.75,"half",31.1,"1",27
"49","2018","10","4",12.4,"half",31.1,"1",27
"50","2018","10","5",5.5,"half",31.1,"1",27
"51","2018","11","1",9.8,"none",22.45,"1",23
"52","2018","11","2",16.5,"none",22.45,"1",23
"53","2018","11","3",12.6,"none",22.45,"1",23
"54","2018","11","4",5.5,"none",22.45,"1",23
"55","2018","11","5",13,"none",22.45,"1",23
"56","2018","12","1",9.3,"full",17,"1",28
"57","2018","12","2",12.9,"full",17,"1",28
"58","2018","12","3",12.3,"full",17,"1",28
"59","2018","12","4",18,"full",17,"1",28
"60","2018","12","5",6.8,"full",17,"1",28
"61","2018","13","1",12,"full",50.8,"1",3.5
"62","2018","13","2",17,"full",50.8,"1",3.5
"63","2018","13","3",24,"full",50.8,"1",3.5
"64","2018","13","4",20,"full",50.8,"1",3.5
"65","2018","13","5",15.5,"full",50.8,"1",3.5
"66","2018","14","1",23,"none",35,"1",35
"67","2018","14","2",14.5,"none",35,"1",35
"68","2018","14","3",15.2,"none",35,"1",35
"69","2018","14","4",15.9,"none",35,"1",35
"70","2018","14","5",11.5,"none",35,"1",35
"71","2018","15","1",15,"half",20,"1",23
"72","2018","15","2",9,"half",20,"1",23
"73","2018","15","3",9.3,"half",20,"1",23
"74","2018","15","4",9.4,"half",20,"1",23
"75","2018","15","5",12.9,"half",20,"1",23
"76","2018","16","1",11,"full",42.25,"1",6
"77","2018","16","2",14.4,"full",42.25,"1",6
"78","2018","16","3",14.8,"full",42.25,"1",6
"79","2018","16","4",18.6,"full",42.25,"1",6
"80","2018","16","5",28.2,"full",42.25,"1",6
"81","2018","17","1",6.1,"half",32.5,"1",32
"82","2018","17","2",17,"half",32.5,"1",32
"83","2018","17","3",4.5,"half",32.5,"1",32
"84","2018","17","4",14,"half",32.5,"1",32
"85","2018","17","5",3.5,"half",32.5,"1",32
"86","2018","18","1",11.5,"none",36,"1",41
"87","2018","18","2",15.2,"none",36,"1",41
"88","2018","18","3",20.2,"none",36,"1",41
"89","2018","18","4",5.25,"none",36,"1",41
"90","2018","18","5",4.75,"none",36,"1",41
"91","2018","19","1",27.1,"full",43.5,"2",0
"92","2018","19","2",37.9,"full",43.5,"2",0
"93","2018","19","3",39.85,"full",43.5,"2",0
"94","2018","19","4",24.5,"full",43.5,"2",0
"95","2018","19","5",41.5,"full",43.5,"2",0
"96","2018","20","1",14.5,"none",33,"2",27
"97","2018","20","2",28.2,"none",33,"2",27
"98","2018","20","3",25.9,"none",33,"2",27
"99","2018","20","4",23.1,"none",33,"2",27
"100","2018","20","5",34.4,"none",33,"2",27
"101","2018","21","1",32.4,"half",32,"2",23
"102","2018","21","2",15.6,"half",32,"2",23
"103","2018","21","3",25.1,"half",32,"2",23
"104","2018","21","4",24.6,"half",32,"2",23
"105","2018","21","5",21.4,"half",32,"2",23
"106","2018","22","1",24.1,"full",44.85,"2",2
"107","2018","22","2",38,"full",44.85,"2",2
"108","2018","22","3",21.3,"full",44.85,"2",2
"109","2018","22","4",17.4,"full",44.85,"2",2
"110","2018","22","5",34,"full",44.85,"2",2
"111","2018","23","1",11.2,"half",28.2,"2",20
"112","2018","23","2",19.9,"half",28.2,"2",20
"113","2018","23","3",17.5,"half",28.2,"2",20
"114","2018","23","4",10.6,"half",28.2,"2",20
"115","2018","23","5",17.4,"half",28.2,"2",20
"116","2018","24","1",20.1,"none",33.2,"2",28
"117","2018","24","2",23.5,"none",33.2,"2",28
"118","2018","24","3",16.2,"none",33.2,"2",28
"119","2018","24","4",14.5,"none",33.2,"2",28
"120","2018","24","5",22,"none",33.2,"2",28
"121","2018","25","1",42,"none",25.85,"2",10
"122","2018","25","2",20.8,"none",25.85,"2",10
"123","2018","25","3",23.8,"none",25.85,"2",10
"124","2018","25","4",22.1,"none",25.85,"2",10
"125","2018","25","5",24,"none",25.85,"2",10
"126","2018","26","1",29.6,"half",39.75,"2",11
"127","2018","26","2",13,"half",39.75,"2",11
"128","2018","26","3",31.1,"half",39.75,"2",11
