mafacover,normalized_par
42,0.224836601
10,0.338588885
9,0.166666667
23,0.310884354
12,0.482198142
35,0.217563552
28,0.244189853
17,0.232748538
15,0.450925603
27,0.422264875
23,0.449269792
28,0.471184632
3.5,0.233640553
35,0.274364896
23,0.316526611
6,0.228392081
32,0.23050703
41,0.489213894
0,0.258693046
27,0.165927802
23,0.26920713
2,0.256556826
20,0.36627351
28,0.477762803
10,0.228837209
11,0.510094637
2.25,0.467263743
0,0.295419613
13.5,0.533734558
11,0.623453153
12,0.320475731
7,0.596728307
0,0.206566347
4.75,0.592139175
2.5,0.497045534
6,0.11994989
42,0.244005185
10,0.609578544
9,0.516483516
23,0.622445321
12,0.456769437
35,0.329570398
28,0.548991354
17,0.239229765
15,0.711664936
27,0.563164109
23,0.655653451
28,0.565124555
3.5,0.29287902
35,0.297250859
23,0.479010495
6,0.60692951
32,0.413889863
41,0.401558794
0,0.413186158
27,0.433568678
23,0.513396982
2,0.333919775
20,0.561771562
28,0.575886525
10,0.468366383
11,0.483053749
2.25,0.449641516
0,0.392020266
13.5,0.551286335
11,0.806398955
12,0.427405644
7,0.667963225
0,0.289845758
4.75,0.536468984
2.5,0.508102955
6,0.347855228
70,0.060736196
25,0.243571082
23,0.200987654
43,0.320100503
35,0.090159961
73,0.479460094
60,0.123031496
25,0.135628953
38,0.345712357
40,0.089498807
40,0.248508946
40,0.123609394
1,0.069590086
40,0.220472441
45,0.085413929
35,0.080087767
60,0.089634146
45,0.137371552
0,0.024539877
42,0.497454882
65,0.577655311
5,0.08716707
35,0.151883354
55,0.108662994
10,0.356914651
16,0.160047421
3,0.099178774
0,0.559677419
15,0.346363187
3,0.458755427
30,0.176322418
20,0.270381837
0,0.093346574
15,0.397371082
15,0.317713697
0,0.065227593
70,0.091318591
25,0.589930822
23,0.594787576
43,0.440108192
35,0.362896979
73,0.36935341
60,0.351351351
25,0.398148148
38,0.651113913
40,0.297479748
40,0.671319797
40,0.381053526
1,0.292694276
40,0.34237151
45,0.232807215
35,0.612024666
60,0.164155844
45,0.368090452
0,0.284409875
42,0.288948069
65,0.412001341
5,0.267565649
35,0.606875934
55,0.304301075
10,0.559000316
16,0.507714388
3,0.545810493
0,0.515394913
15,0.562682216
3,0.815390046
30,0.499094531
20,0.783113245
0,0.58621988
15,0.493501805
15,0.531028738
0,0.302999318
70,0.04353562
25,0.402466732
23,0.858486868
43,0.308650519
35,0.266559486
73,0.149702823
60,0.279425837
25,0.164304864
38,0.458100559
40,0.33741889
40,0.588360539
40,0.568015926
1,0.428717251
40,0.254975978
45,0.269605931
35,0.666906994
60,0.030677291
45,0.442329227
0,0.236346215
42,0.429455849
65,0.152547671
5,0.319689922
35,0.230769231
55,0.097878675
10,0.535417996
16,0.615457413
3,0.626717033
0,0.64556962
15,0.419876983
3,0.813765182
30,0.43539147
20,0.731213873
0,0.808377309
15,0.676636756
15,0.444919434
0,0.283966516
70,0.136147039
25,0.478860006
23,0.583358732
43,0.372923848
35,0.150527325
73,0.122988157
60,0.197232947
25,0.364087302
38,0.49261745
40,0.386312034
40,0.563780093
40,0.2512364
1,0.468674282
40,0.197891874
45,0.407162726
35,0.379780512
60,0.030098072
45,0.336779449
0,0.197674419
42,0.204784131
65,0.209162146
5,0.803889255
35,0.483891753
55,0.186774194
10,0.214782609
16,0.617618896
3,0.567450495
0,0.388007055
15,0.36273905
3,0.818484288
30,0.511002445
20,0.426325524
0,0.388385888
15,0.76218965
15,0.429115128
0,0.382752902
70,0.240343348
25,0.338813152
23,0.571784824
43,0.368928141
35,0.378799392
73,0.259735202
60,0.310166799
25,0.286301933
38,0.853405503
40,0.228571429
40,0.752182952
40,0.339118825
1,0.381132075
40,0.424738518
45,0.316234498
35,0.50410509
60,0.120941558
45,0.193663366
0,0.247872734
42,0.310319767
65,0.174763613
5,0.617938931
35,0.440847784
55,0.356292517
10,0.595914127
16,0.659354305
3,0.483474251
0,0.50018622
15,0.464799115
3,0.842882883
30,0.513545347
20,0.567408652
0,0.42208051
15,0.471167883
15,0.389925373
0,0.578908003
70,0.148347425
25,0.230496454
23,0.149560117
43,0.143119266
35,0.123429416
73,0.39184268
60,0.223162348
25,0.224788299
38,0.25847846
40,0.140438871
40,0.269461078
40,0.226640159
1,0.093006993
40,0.24404416
45,0.11245283
35,0.091549296
60,0.084745763
45,0.093622001
0,0.513483146
42,0.474566128
65,0.40383498
5,0.509528586
35,0.233076923
55,0.120363361
10,0.490948985
16,0.296125461
3,0.164483261
0,0.258333333
15,0.325959662
3,0.692676249
30,0.419852941
20,0.685505319
0,0.342817488
15,0.54727133
15,0.284513806
0,0.536464771
