"","species","seedlingID","timepoint_status","timepoint","alive","dead"
"1","CEOL","1_bottom_CEOL","jan_alive","jan",2.88,NA
"2","CEOL","1_bottom_CEOL","march_alive","march",2.9,NA
"3","CEOL","1_bottom_CEOL","may_alive","may",7.04,NA
"4","CEOL","1_bottom_CEOL","sept_dead","sept",NA,NA
"5","CEOL","1_top_CEOL","jan_alive","jan",1.8,NA
"6","CEOL","1_top_CEOL","march_alive","march",1.63,NA
"7","CEOL","1_top_CEOL","may_alive","may",2.93,NA
"8","CEOL","1_top_CEOL","sept_alive","sept",3.561,NA
"9","CEOL","10_bottom_CEOL","jan_alive","jan",1.75,NA
"10","CEOL","10_bottom_CEOL","march_alive","march",2.12,NA
"11","CEOL","10_bottom_CEOL","may_alive","may",3.55,NA
"12","CEOL","10_bottom_CEOL","sept_alive","sept",1.477,NA
"13","CEOL","10_top_CEOL","jan_alive","jan",1.93,NA
"14","CEOL","10_top_CEOL","march_alive","march",1.08,NA
"15","CEOL","10_top_CEOL","may_alive","may",1.39,NA
"16","CEOL","10_top_CEOL","sept_dead","sept",NA,NA
"17","CEOL","11_bottom_CEOL","jan_alive","jan",1.72,NA
"18","CEOL","11_bottom_CEOL","march_alive","march",2.28,NA
"19","CEOL","11_bottom_CEOL","may_alive","may",3.63,NA
"20","CEOL","11_bottom_CEOL","sept_dead","sept",NA,NA
"21","CEOL","11_top_CEOL","jan_alive","jan",2.65,NA
"22","CEOL","11_top_CEOL","march_alive","march",1.94,NA
"23","CEOL","11_top_CEOL","may_alive","may",2.12,NA
"24","CEOL","11_top_CEOL","sept_dead","sept",NA,NA
"25","CEOL","12_bottom_CEOL","jan_alive","jan",1.46,NA
"26","CEOL","12_bottom_CEOL","march_alive","march",0.79,NA
"27","CEOL","12_bottom_CEOL","may_alive","may",1.11,NA
"28","CEOL","12_bottom_CEOL","sept_dead","sept",NA,NA
"29","CEOL","12_top_CEOL","jan_alive","jan",4.64,NA
"30","CEOL","12_top_CEOL","march_alive","march",5.3,NA
"31","CEOL","12_top_CEOL","may_alive","may",2.19,NA
"32","CEOL","12_top_CEOL","sept_alive","sept",2.575,NA
"33","CEOL","13_bottom_CEOL","jan_alive","jan",3.85,NA
"34","CEOL","13_bottom_CEOL","march_alive","march",4.05,NA
"35","CEOL","13_bottom_CEOL","may_alive","may",7.31,NA
"36","CEOL","13_bottom_CEOL","sept_dead","sept",NA,1.397
"37","CEOL","13_top_CEOL","jan_alive","jan",1.44,NA
"38","CEOL","13_top_CEOL","march_dead","march",NA,NA
"39","CEOL","13_top_CEOL","may_dead","may",NA,NA
"40","CEOL","13_top_CEOL","sept_dead","sept",NA,NA
"41","CEOL","14_bottom_CEOL","jan_alive","jan",3.79,NA
"42","CEOL","14_bottom_CEOL","march_alive","march",3.95,NA
"43","CEOL","14_bottom_CEOL","may_alive","may",4.91,NA
"44","CEOL","14_bottom_CEOL","sept_dead","sept",NA,NA
"45","CEOL","14_top_CEOL","jan_alive","jan",3.36,NA
"46","CEOL","14_top_CEOL","march_alive","march",2.01,NA
"47","CEOL","14_top_CEOL","may_alive","may",2.719,NA
"48","CEOL","14_top_CEOL","sept_dead","sept",NA,NA
"49","CEOL","15_bottom_CEOL","jan_alive","jan",3.62,NA
"50","CEOL","15_bottom_CEOL","march_alive","march",0.29,NA
"51","CEOL","15_bottom_CEOL","may_dead","may",NA,NA
"52","CEOL","15_bottom_CEOL","sept_dead","sept",NA,NA
"53","CEOL","15_top_CEOL","jan_alive","jan",3.5,NA
"54","CEOL","15_top_CEOL","march_dead","march",NA,NA
"55","CEOL","15_top_CEOL","may_dead","may",NA,NA
"56","CEOL","15_top_CEOL","sept_dead","sept",NA,NA
"57","CEOL","16_bottom_CEOL","jan_alive","jan",1.66,NA
"58","CEOL","16_bottom_CEOL","march_alive","march",0.56,NA
"59","CEOL","16_bottom_CEOL","may_alive","may",1.27,NA
"60","CEOL","16_bottom_CEOL","sept_dead","sept",NA,NA
"61","CEOL","16_top_CEOL","jan_alive","jan",4.93,NA
"62","CEOL","16_top_CEOL","march_alive","march",4.28,NA
"63","CEOL","16_top_CEOL","may_alive","may",8.96,NA
"64","CEOL","16_top_CEOL","sept_dead","sept",NA,1.634
"65","CEOL","17_bottom_CEOL","jan_alive","jan",5.04,NA
"66","CEOL","17_bottom_CEOL","march_dead","march",NA,1
"67","CEOL","17_bottom_CEOL","may_alive","may",1.42,NA
"68","CEOL","17_bottom_CEOL","sept_alive","sept",1.206,NA
"69","CEOL","17_top_CEOL","jan_alive","jan",4.03,NA
"70","CEOL","17_top_CEOL","march_alive","march",3.43,NA
"71","CEOL","17_top_CEOL","may_alive","may",6.64,NA
"72","CEOL","17_top_CEOL","sept_alive","sept",6.781,NA
"73","CEOL","18_bottom_CEOL","jan_alive","jan",4.87,NA
"74","CEOL","18_bottom_CEOL","march_dead","march",NA,NA
"75","CEOL","18_bottom_CEOL","may_dead","may",NA,NA
"76","CEOL","18_bottom_CEOL","sept_dead","sept",NA,NA
"77","CEOL","18_top_CEOL","jan_alive","jan",3.09,NA
"78","CEOL","18_top_CEOL","march_dead","march",NA,NA
"79","CEOL","18_top_CEOL","may_dead","may",NA,NA
"80","CEOL","18_top_CEOL","sept_dead","sept",NA,NA
"81","CEOL","19_bottom_CEOL","jan_alive","jan",2.73,NA
"82","CEOL","19_bottom_CEOL","march_dead","march",NA,NA
"83","CEOL","19_bottom_CEOL","may_dead","may",NA,1.4
"84","CEOL","19_bottom_CEOL","sept_dead","sept",NA,NA
"85","CEOL","19_top_CEOL","jan_alive","jan",4.24,NA
"86","CEOL","19_top_CEOL","march_alive","march",6.75,NA
"87","CEOL","19_top_CEOL","may_alive","may",9.77,NA
"88","CEOL","19_top_CEOL","sept_dead","sept",NA,NA
"89","CEOL","2_bottom_CEOL","jan_alive","jan",2.91,NA
"90","CEOL","2_bottom_CEOL","march_alive","march",2.15,NA
"91","CEOL","2_bottom_CEOL","may_alive","may",3.49,NA
"92","CEOL","2_bottom_CEOL","sept_dead","sept",NA,2.835
"93","CEOL","2_top_CEOL","jan_alive","jan",3.69,NA
"94","CEOL","2_top_CEOL","march_alive","march",4.01,NA
"95","CEOL","2_top_CEOL","may_alive","may",5.88,NA
"96","CEOL","2_top_CEOL","sept_alive","sept",7.085,NA
"97","CEOL","20_bottom_CEOL","jan_alive","jan",1.55,NA
"98","CEOL","20_bottom_CEOL","march_alive","march",2.52,NA
"99","CEOL","20_bottom_CEOL","may_alive","may",0.37,NA
"100","CEOL","20_bottom_CEOL","sept_dead","sept",NA,NA
"101","CEOL","20_top_CEOL","jan_alive","jan",2.75,NA
"102","CEOL","20_top_CEOL","march_alive","march",2.79,NA
"103","CEOL","20_top_CEOL","may_alive","may",2.23,NA
"104","CEOL","20_top_CEOL","sept_dead","sept",NA,NA
"105","CEOL","21_bottom_CEOL","jan_alive","jan",2.21,NA
"106","CEOL","21_bottom_CEOL","march_alive","march",3.08,NA
"107","CEOL","21_bottom_CEOL","may_alive","may",3.36,NA
"108","CEOL","21_bottom_CEOL","sept_alive","sept",1.74,NA
"109","CEOL","21_top_CEOL","jan_alive","jan",1.72,NA
"110","CEOL","21_top_CEOL","march_dead","march",NA,NA
"111","CEOL","21_top_CEOL","may_dead","may",NA,NA
"112","CEOL","21_top_CEOL","sept_dead","sept",NA,NA
"113","CEOL","22_bottom_CEOL","jan_alive","jan",1.95,NA
"114","CEOL","22_bottom_CEOL","march_dead","march",NA,NA
"115","CEOL","22_bottom_CEOL","may_dead","may",NA,NA
"116","CEOL","22_bottom_CEOL","sept_dead","sept",NA,NA
"117","CEOL","22_top_CEOL","jan_dead","jan",NA,NA
"118","CEOL","22_top_CEOL","march_dead","march",NA,NA
"119","CEOL","22_top_CEOL","may_dead","may",NA,NA
"120","CEOL","22_top_CEOL","sept_dead","sept",NA,NA
"121","CEOL","23_bottom_CEOL","jan_alive","jan",3.12,NA
"122","CEOL","23_bottom_CEOL","march_alive","march",2.55,NA
"123","CEOL","23_bottom_CEOL","may_alive","may",3.11,NA
"124","CEOL","23_bottom_CEOL","sept_dead","sept",NA,NA
"125","CEOL","23_top_CEOL","jan_alive","jan",2.53,NA
"126","CEOL","23_top_CEOL","march_dead","march",NA,NA
"127","CEOL","23_top_CEOL","may_dead","may",NA,NA
"128","CEOL","23_top_CEOL","sept_dead","sept",NA,NA
"129","CEOL","24_bottom_CEOL","jan_alive","jan",1.32,NA
"130","CEOL","24_bottom_CEOL","march_dead","march",NA,NA
"131","CEOL","24_bottom_CEOL","may_dead","may",NA,NA
"132","CEOL","24_bottom_CEOL","sept_dead","sept",NA,NA
"133","CEOL","24_top_CEOL","jan_alive","jan",1.77,NA
"134","CEOL","24_top_CEOL","march_alive","march",0.78,NA
"135","CEOL","24_top_CEOL","may_alive","may",1.67,NA
"136","CEOL","24_top_CEOL","sept_dead","sept",NA,NA
"137","CEOL","25_bottom_CEOL","jan_alive","jan",3.48,NA
"138","CEOL","25_bottom_CEOL","march_dead","march",NA,NA
"139","CEOL","25_bottom_CEOL","may_dead","may",NA,NA
"140","CEOL","25_bottom_CEOL","sept_dead","sept",NA,NA
"141","CEOL","25_top_CEOL","jan_alive","jan",3,NA
"142","CEOL","25_top_CEOL","march_alive","march",1.91,NA
"143","CEOL","25_top_CEOL","may_dead","may",NA,NA
"144","CEOL","25_top_CEOL","sept_dead","sept",NA,NA
"145","CEOL","26_bottom_CEOL","jan_alive","jan",2.28,NA
"146","CEOL","26_bottom_CEOL","march_alive","march",1.91,NA
"147","CEOL","26_bottom_CEOL","may_dead","may",NA,NA
"148","CEOL","26_bottom_CEOL","sept_dead","sept",NA,NA
"149","CEOL","26_top_CEOL","jan_alive","jan",2.15,NA
"150","CEOL","26_top_CEOL","march_alive","march",2.17,NA
"151","CEOL","26_top_CEOL","may_dead","may",NA,NA
"152","CEOL","26_top_CEOL","sept_dead","sept",NA,NA
"153","CEOL","27_bottom_CEOL","jan_alive","jan",3.38,NA
"154","CEOL","27_bottom_CEOL","march_alive","march",3.5,NA
"155","CEOL","27_bottom_CEOL","may_dead","may",NA,NA
"156","CEOL","27_bottom_CEOL","sept_dead","sept",NA,NA
"157","CEOL","27_top_CEOL","jan_alive","jan",2.39,NA
"158","CEOL","27_top_CEOL","march_alive","march",2.53,NA
"159","CEOL","27_top_CEOL","may_alive","may",2.48,NA
"160","CEOL","27_top_CEOL","sept_dead","sept",NA,NA
"161","CEOL","28_bottom_CEOL","jan_alive","jan",0.91,NA
"162","CEOL","28_bottom_CEOL","march_alive","march",1.65,NA
"163","CEOL","28_bottom_CEOL","may_dead","may",NA,NA
"164","CEOL","28_bottom_CEOL","sept_dead","sept",NA,NA
"165","CEOL","28_top_CEOL","jan_alive","jan",3.77,NA
"166","CEOL","28_top_CEOL","march_dead","march",NA,NA
"167","CEOL","28_top_CEOL","may_dead","may",NA,NA
"168","CEOL","28_top_CEOL","sept_dead","sept",NA,NA
"169","CEOL","29_bottom_CEOL","jan_alive","jan",3.39,NA
"170","CEOL","29_bottom_CEOL","march_dead","march",NA,NA
"171","CEOL","29_bottom_CEOL","may_dead","may",NA,NA
"172","CEOL","29_bottom_CEOL","sept_dead","sept",NA,NA
"173","CEOL","29_top_CEOL","jan_alive","jan",3,NA
"174","CEOL","29_top_CEOL","march_alive","march",3.85,NA
"175","CEOL","29_top_CEOL","may_alive","may",5.92,NA
"176","CEOL","29_top_CEOL","sept_dead","sept",NA,NA
"177","CEOL","3_bottom_CEOL","jan_alive","jan",0.65,NA
"178","CEOL","3_bottom_CEOL","march_alive","march",0.55,NA
"179","CEOL","3_bottom_CEOL","may_alive","may",0.71,NA
"180","CEOL","3_bottom_CEOL","sept_dead","sept",NA,NA
"181","CEOL","3_top_CEOL","jan_alive","jan",2.21,NA
"182","CEOL","3_top_CEOL","march_alive","march",3.05,NA
"183","CEOL","3_top_CEOL","may_alive","may",3.25,NA
"184","CEOL","3_top_CEOL","sept_dead","sept",NA,4.404
"185","CEOL","30_bottom_CEOL","jan_alive","jan",1.24,NA
"186","CEOL","30_bottom_CEOL","march_dead","march",NA,NA
"187","CEOL","30_bottom_CEOL","may_dead","may",NA,NA
"188","CEOL","30_bottom_CEOL","sept_dead","sept",NA,NA
"189","CEOL","30_top_CEOL","jan_alive","jan",2.4,NA
"190","CEOL","30_top_CEOL","march_alive","march",2.05,NA
"191","CEOL","30_top_CEOL","may_dead","may",NA,NA
"192","CEOL","30_top_CEOL","sept_dead","sept",NA,NA
"193","CEOL","31_bottom_CEOL","jan_alive","jan",2.28,NA
"194","CEOL","31_bottom_CEOL","march_alive","march",3.56,NA
"195","CEOL","31_bottom_CEOL","may_alive","may",NA,NA
"196","CEOL","31_bottom_CEOL","sept_dead","sept",NA,NA
"197","CEOL","31_top_CEOL","jan_alive","jan",1.61,NA
"198","CEOL","31_top_CEOL","march_alive","march",2.07,NA
"199","CEOL","31_top_CEOL","may_alive","may",2.89,NA
"200","CEOL","31_top_CEOL","sept_dead","sept",NA,NA
"201","CEOL","32_bottom_CEOL","jan_alive","jan",0.36,NA
"202","CEOL","32_bottom_CEOL","march_alive","march",1.5,NA
"203","CEOL","32_bottom_CEOL","may_alive","may",1.47,NA
"204","CEOL","32_bottom_CEOL","sept_dead","sept",NA,NA
"205","CEOL","32_top_CEOL","jan_alive","jan",1.39,NA
"206","CEOL","32_top_CEOL","march_alive","march",1.61,NA
"207","CEOL","32_top_CEOL","may_dead","may",NA,NA
"208","CEOL","32_top_CEOL","sept_dead","sept",NA,NA
"209","CEOL","33_bottom_CEOL","jan_alive","jan",2.77,NA
"210","CEOL","33_bottom_CEOL","march_alive","march",2.61,NA
"211","CEOL","33_bottom_CEOL","may_alive","may",2.92,NA
"212","CEOL","33_bottom_CEOL","sept_dead","sept",NA,NA
"213","CEOL","33_top_CEOL","jan_alive","jan",2.74,NA
"214","CEOL","33_top_CEOL","march_alive","march",3.83,NA
"215","CEOL","33_top_CEOL","may_dead","may",NA,2.5
"216","CEOL","33_top_CEOL","sept_dead","sept",NA,NA
"217","CEOL","34_bottom_CEOL","jan_alive","jan",1.6,NA
"218","CEOL","34_bottom_CEOL","march_alive","march",1.34,NA
"219","CEOL","34_bottom_CEOL","may_alive","may",1.65,NA
"220","CEOL","34_bottom_CEOL","sept_dead","sept",NA,NA
"221","CEOL","34_top_CEOL","jan_alive","jan",2.81,NA
"222","CEOL","34_top_CEOL","march_alive","march",2.84,NA
"223","CEOL","34_top_CEOL","may_dead","may",NA,NA
"224","CEOL","34_top_CEOL","sept_dead","sept",NA,NA
"225","CEOL","35_bottom_CEOL","march_alive","march",1.51,NA
"226","CEOL","35_bottom_CEOL","may_dead","may",NA,NA
"227","CEOL","35_bottom_CEOL","sept_dead","sept",NA,NA
"228","CEOL","35_middle_CEOL","jan_alive","jan",1.67,NA
"229","CEOL","35_top_CEOL","jan_alive","jan",2.62,NA
"230","CEOL","35_top_CEOL","march_alive","march",2.5,NA
"231","CEOL","35_top_CEOL","may_dead","may",NA,NA
"232","CEOL","35_top_CEOL","sept_dead","sept",NA,NA
