"","year","site","plot_number","treatment","species","1","2","5","12","initial"
"1",2018,1,1,"none","CEOL",4,4,2,0,4
"2",2018,1,1,"none","HEAR",6,6,0,0,6
"3",2018,1,1,"none","RHOV",4,4,2,0,4
"4",2018,1,1,"none","SAAP",4,4,1,0,4
"5",2018,1,2,"full ","CEOL",4,4,2,0,4
"6",2018,1,2,"full ","HEAR",6,6,6,0,6
"7",2018,1,2,"full ","RHOV",4,4,1,0,4
"8",2018,1,2,"full ","SAAP",4,2,1,0,4
"9",2018,1,3,"full ","CEOL",4,4,2,0,4
"10",2018,1,3,"full ","HEAR",6,6,3,0,6
"11",2018,1,3,"full ","RHOV",4,3,0,0,4
"12",2018,1,3,"full ","SAAP",4,3,1,0,4
"13",2018,1,4,"half ","CEOL",4,4,2,0,4
"14",2018,1,4,"half ","HEAR",6,6,4,0,6
"15",2018,1,4,"half ","RHOV",4,4,2,0,4
"16",2018,1,4,"half ","SAAP",4,4,2,1,4
"17",2018,1,5,"half ","CEOL",4,4,3,0,4
"18",2018,1,5,"half ","HEAR",6,6,2,0,6
"19",2018,1,5,"half ","RHOV",4,4,0,0,4
"20",2018,1,5,"half ","SAAP",4,4,2,0,4
"21",2018,1,6,"none","CEOL",4,3,0,0,4
"22",2018,1,6,"none","HEAR",6,6,5,0,6
"23",2018,1,6,"none","RHOV",4,2,2,0,4
"24",2018,1,6,"none","SAAP",4,1,0,0,4
"25",2018,1,7,"none","CEOL",4,4,1,0,4
"26",2018,1,7,"none","HEAR",6,6,2,0,6
"27",2018,1,7,"none","RHOV",4,4,2,0,4
"28",2018,1,7,"none","SAAP",4,1,1,0,4
"29",2018,1,8,"half ","CEOL",4,4,0,0,4
"30",2018,1,8,"half ","HEAR",6,6,5,0,6
"31",2018,1,8,"half ","RHOV",4,3,3,0,4
"32",2018,1,8,"half ","SAAP",4,4,1,0,4
"33",2018,1,9,"full ","CEOL",4,4,1,0,4
"34",2018,1,9,"full ","HEAR",6,6,6,0,6
"35",2018,1,9,"full ","RHOV",4,3,0,0,4
"36",2018,1,9,"full ","SAAP",4,3,0,0,4
"37",2018,1,10,"half ","CEOL",4,4,4,0,4
"38",2018,1,10,"half ","HEAR",6,6,5,0,6
"39",2018,1,10,"half ","RHOV",4,4,3,0,4
"40",2018,1,10,"half ","SAAP",4,1,1,1,4
"41",2018,1,11,"none","CEOL",4,4,0,0,4
"42",2018,1,11,"none","HEAR",6,6,1,0,6
"43",2018,1,11,"none","RHOV",4,4,1,0,4
"44",2018,1,11,"none","SAAP",4,4,2,0,4
"45",2018,1,12,"full ","CEOL",4,4,2,0,4
"46",2018,1,12,"full ","HEAR",6,6,6,0,6
"47",2018,1,12,"full ","RHOV",4,4,3,1,4
"48",2018,1,12,"full ","SAAP",4,4,3,0,4
"49",2018,1,13,"full ","CEOL",4,3,0,0,4
