"","year","month","plot_number","treatment","species","height","width1","width2","alive","site","month_count","transplanted"
"1",2018,1,1,"none","CEOL",NA,NA,NA,4,"1",0,2018
"2",2018,1,1,"none","HEAR",NA,NA,NA,6,"1",0,2018
"3",2018,1,1,"none","RHOV",NA,NA,NA,4,"1",0,2018
"4",2018,1,1,"none","SAAP",NA,NA,NA,4,"1",0,2018
"5",2018,1,2,"full ","CEOL",NA,NA,NA,4,"1",0,2018
"6",2018,1,2,"full ","HEAR",NA,NA,NA,6,"1",0,2018
"7",2018,1,2,"full ","RHOV",NA,NA,NA,4,"1",0,2018
"8",2018,1,2,"full ","SAAP",NA,NA,NA,4,"1",0,2018
"9",2018,1,3,"full ","CEOL",NA,NA,NA,4,"1",0,2018
"10",2018,1,3,"full ","HEAR",NA,NA,NA,6,"1",0,2018
"11",2018,1,3,"full ","RHOV",NA,NA,NA,4,"1",0,2018
"12",2018,1,3,"full ","SAAP",NA,NA,NA,4,"1",0,2018
"13",2018,1,4,"half ","CEOL",NA,NA,NA,4,"1",0,2018
"14",2018,1,4,"half ","HEAR",NA,NA,NA,6,"1",0,2018
"15",2018,1,4,"half ","RHOV",NA,NA,NA,4,"1",0,2018
"16",2018,1,4,"half ","SAAP",NA,NA,NA,4,"1",0,2018
"17",2018,1,5,"half ","CEOL",NA,NA,NA,4,"1",0,2018
"18",2018,1,5,"half ","HEAR",NA,NA,NA,6,"1",0,2018
"19",2018,1,5,"half ","RHOV",NA,NA,NA,4,"1",0,2018
"20",2018,1,5,"half ","SAAP",NA,NA,NA,4,"1",0,2018
"21",2018,1,6,"none","CEOL",NA,NA,NA,4,"1",0,2018
"22",2018,1,6,"none","HEAR",NA,NA,NA,6,"1",0,2018
"23",2018,1,6,"none","RHOV",NA,NA,NA,4,"1",0,2018
"24",2018,1,6,"none","SAAP",NA,NA,NA,4,"1",0,2018
"25",2018,1,7,"none","CEOL",NA,NA,NA,4,"1",0,2018
"26",2018,1,7,"none","HEAR",NA,NA,NA,6,"1",0,2018
"27",2018,1,7,"none","RHOV",NA,NA,NA,4,"1",0,2018
"28",2018,1,7,"none","SAAP",NA,NA,NA,4,"1",0,2018
"29",2018,1,8,"half ","CEOL",NA,NA,NA,4,"1",0,2018
"30",2018,1,8,"half ","HEAR",NA,NA,NA,6,"1",0,2018
"31",2018,1,8,"half ","RHOV",NA,NA,NA,4,"1",0,2018
"32",2018,1,8,"half ","SAAP",NA,NA,NA,4,"1",0,2018
"33",2018,1,9,"full ","CEOL",NA,NA,NA,4,"1",0,2018
"34",2018,1,9,"full ","HEAR",NA,NA,NA,6,"1",0,2018
"35",2018,1,9,"full ","RHOV",NA,NA,NA,4,"1",0,2018
"36",2018,1,9,"full ","SAAP",NA,NA,NA,4,"1",0,2018
"37",2018,1,10,"half ","CEOL",NA,NA,NA,4,"1",0,2018
"38",2018,1,10,"half ","HEAR",NA,NA,NA,6,"1",0,2018
"39",2018,1,10,"half ","RHOV",NA,NA,NA,4,"1",0,2018
