height in march,aliveinmay
2.59,N
2.97,N
1.82,Y
1.65,Y
2.95,Y
3.53,Y
0.88,Y
3.89,Y
1.54,N
1.29,N
1.12,N
1.98,N
2.7,N
0.78,Y
1.9,N
1.3,Y
2.34,N
2.28,N
2,N
,
2.5,Y
,
1.728,N
1.289,N
0.987,Y
2.783,Y
1.65,Y
,
2.69,N
2.05,Y
2.15,Y
2.6,N
2.72,Y
,
4,N
2.9,N
1,Y
,
,
,
3.86,N
2.32,N
3,N
3.12,N
2.74,Y
2,N
2,N
1.3,Y
,
,
,
1.93,N
,
,
2.11,N
4.11,N
2.38,N
,
,
,
1.08,Y
1.04,N
,
3.37,N
,
,
,
,
2.87,N
1.98,N
5.11,N
1.41,N
2.84,N
1.55,N
1.77,N
4.19,Y
,
1.78,N
1.47,N
1.53,N
1.59,N
,
,
2.43,N
,
,
,
,
2.15,N
3.66,N
1.16,Y
1.28,Y
2.09,Y
1.97,N
,
2.51,N
2.5,N
2.22,N
2.08,N
,
2.45,N
,
,
,
2.67,Y
2.98,N
1.67,Y
1.91,Y
2.08,N
1.84,N
2.32,Y
,
1.45,N
,
2.12,Y
1.53,N
,
2.4,N
0.45,N
1.41,N
2.7,N
2.65,Y
3.66,N
1.9,Y
1.6,Y
1.13,Y
1.99,Y
1.7,N
2.32,N
,
1.43,N
3.56,N
3.32,N
2.3,Y
2.59,N
1.79,N
1.6,N
2.25,N
0.97,N
2.15,N
3.14,N
1.92,Y
0.75,N
2.12,N
