date,plot_number,MAFA_removal,location,species,individual,stem_height_cm,width_1_cm,width_2_cm,condition,alive,dead,notes
1/30/2018,1,none,right,CEOL,green,,,,,1,,planted 2018
1/30/2018,1,none,right,CEOL,blue,,,,,1,,planted 2018
1/30/2018,1,none,right,HEAR,S,,,,,1,,planted 2018
1/30/2018,1,none,right,HEAR,C,,,,,1,,planted 2018
1/30/2018,1,none,right,HEAR,R,,,,,1,,planted 2018
1/30/2018,1,none,right,RHOV,green,,,,,1,,planted 2018
1/30/2018,1,none,right,RHOV,blue,,,,,1,,planted 2018
1/30/2018,1,none,right,SAAP,green,,,,,1,,planted 2018
1/30/2018,1,none,right,SAAP,blue,,,,,1,,planted 2018
1/30/2018,1,none,left,CEOL,green,,,,,1,,planted 2018
1/30/2018,1,none,left,CEOL,blue,,,,,1,,planted 2018
1/30/2018,1,none,left,HEAR,S,,,,,1,,planted 2018
1/30/2018,1,none,left,HEAR,C,,,,,1,,planted 2018
1/30/2018,1,none,left,HEAR,R,,,,,1,,planted 2018
1/30/2018,1,none,left,RHOV,green,,,,,1,,planted 2018
1/30/2018,1,none,left,RHOV,blue,,,,,1,,planted 2018
1/30/2018,1,none,left,SAAP,green,,,,,1,,planted 2018
1/30/2018,1,none,left,SAAP,blue,,,,,1,,"planted 2018, unknown initlal measurements"
2/24/2018,1,none,right,CEOL,green,1.65,1.75,0.6,,1,,soil erosion at site; good
2/24/2018,1,none,right,CEOL,blue,1.82,2.22,0.95,,1,,soil erosion at site
2/24/2018,1,none,right,HEAR,S,4.61,6.61,1.73,,1,,soil erosion at site
2/24/2018,1,none,right,HEAR,C,9.36,9.44,6.11,,1,,soil erosion at site; good
2/24/2018,1,none,right,HEAR,R,3.96,6.73,5.02,,1,,soil erosion at site
2/24/2018,1,none,right,RHOV,green,2.88,3.24,2.47,,1,,soil erosion at site; crispy
2/24/2018,1,none,right,RHOV,blue,2.9,2.93,0.64,,1,,soil erosion at site; crispy
2/24/2018,1,none,right,SAAP,green,1.4,2.5,1.31,,1,,soil erosion at site
2/24/2018,1,none,right,SAAP,blue,0.58,1.66,0.66,,1,,soil erosion at site
2/24/2018,1,none,left,CEOL,green,2.97,1.17,1.1,,1,,wilted
2/24/2018,1,none,left,CEOL,blue,2.59,1.47,1.25,,1,,
2/24/2018,1,none,left,HEAR,S,6.73,8.36,6.56,,1,,crispy; herbivory
2/24/2018,1,none,left,HEAR,C,7.15,6.71,4.8,,1,,good
2/24/2018,1,none,left,HEAR,R,7.92,8.49,5.84,,1,,good; herbivory
2/24/2018,1,none,left,RHOV,green,4.02,1.6,1.27,,1,,wilted
2/24/2018,1,none,left,RHOV,blue,1.35,2.44,2.1,,1,,
2/24/2018,1,none,left,SAAP,green,2,0.5,0.44,,1,,
2/24/2018,1,none,left,SAAP,blue,0.2,1.65,0.2,,1,,"crispy, top was broken by soil clod"
5/26/2018,1,none,left,SAAP,green,,,,,,1,
5/26/2018,1,none,left,SAAP,blue,,,,,,1,
5/26/2018,1,none,left,RHOV,green,,,,,,1,
5/26/2018,1,none,left,RHOV,blue,1.15,2.97,0.71,,1,,
5/26/2018,1,none,left,CEOL,green,,,,,,1,
5/26/2018,1,none,left,CEOL,blue,,,,,,1,
5/26/2018,1,none,left,HEAR,s,,,,,,1,
5/26/2018,1,none,left,HEAR,c,,,,,,1,
5/26/2018,1,none,left,HEAR,r,,,,,,1,
5/26/2018,1,none,right,SAAP,green,,,,,,1,
5/26/2018,1,none,right,SAAP,blue,0.53,0.924,0.1,,1,,half crisp
5/26/2018,1,none,right,RHOV,green,2.75,1.48,0.39,,1,,half okay
5/26/2018,1,none,right,RHOV,blue,,,,,,1,
5/26/2018,1,none,right,CEOL,green,1.173,1.563,0.8,,1,,
5/26/2018,1,none,right,CEOL,blue,1.64,1.58,0.87,,1,,
5/26/2018,1,none,right,HEAR,s,,,,,,1,
5/26/2018,1,none,right,HEAR,c,,,,,,1,
5/26/2018,1,none,right,HEAR,r,,,,,,1,
12/12/2018,1,none,right,CEOL,green,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,CEOL,blue,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,HEAR,S,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,HEAR,C,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,HEAR,R,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,RHOV,green,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,RHOV,blue,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,right,SAAP,green,,,,,,1,"dead, no seedlings alive on right side, Gabe on TDR, Stephanie on seedlings"
12/12/2018,1,none,right,SAAP,blue,,,,,,1,"dead, no seedlings alive on right side"
12/12/2018,1,none,left,CEOL,green,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,CEOL,blue,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,HEAR,S,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,HEAR,C,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,HEAR,R,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,RHOV,green,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,RHOV,blue,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,SAAP,green,,,,,,1,"dead, no seedlings present"
12/12/2018,1,none,left,SAAP,blue,,,,,,1,"dead, no seedlings present"
1/26/2019,1,none,top,CEOL,,1.8,2.17,1.85,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,top,HEAR,,8.61,9.33,6.93,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,top,RHOV,,2.02,3.39,2.82,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,top,SAAP,,5.12,5.02,4.56,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,middle,HEAR,,5.98,0.55,4.81,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,middle,RHOV,,0.96,4.16,3.79,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,middle,SAAP,,7.32,8.64,4.83,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,bottom,CEOL,,2.88,2.48,1.92,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,bottom,HEAR,,7.31,6.75,6.55,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,bottom,RHOV,,3.02,5.82,4.58,,1,,"planted Jan 18-25, 2019"
1/26/2019,1,none,bottom,SAAP,,1.85,2.66,0.9,,1,,"planted Jan 18-25, 2019"
3/11/2019,1,none,top,CEOL,,1.63,2.03,1.74,,1,,
3/11/2019,1,none,top,HEAR,,7.56,7.86,4.6,,1,,
3/11/2019,1,none,top,RHOV,,2.26,2.22,1.92,,1,,
3/11/2019,1,none,top,SAAP,,5.79,4.8,1.15,,1,,
3/11/2019,1,none,middle,HEAR,,6.23,5.06,4.82,,1,,
3/11/2019,1,none,middle,RHOV,,0.2,3.31,2.06,,1,,
3/11/2019,1,none,middle,SAAP,,7.8,,,,,1,"dead, gray color"
3/11/2019,1,none,bottom,CEOL,,2.9,3.08,1.05,,1,,
3/11/2019,1,none,bottom,HEAR,,6.28,6.47,5.52,,1,,
3/11/2019,1,none,bottom,RHOV,,2.74,5.74,4.51,,1,,
3/11/2019,1,none,bottom,SAAP,,0.56,0.86,0.33,,1,,"heavy herbivory, half a green leaf left"
4/30/2019,1,none,top,CEOL,,2.93,2.81,2.26,,1,,
