date,time,weather,plot,treatment,weeding,reading,TDR-value,notes,average
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH01,,no removal,1,17.3,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH01,,no removal,2,17,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH01,,no removal,3,12.4,,15.6
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH02,,full removal,1,27.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH02,,full removal,2,27.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH02,,full removal,3,25.1,,26.8
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH03,,full removal,1,22.8,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH03,,full removal,2,20.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH03,,full removal,3,24.3,,22.6
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH04,,half removal,1,16.4,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH04,,half removal,2,24.4,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH04,,half removal,3,15.8,,18.9
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH05,,half removal,1,24.9,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH05,,half removal,2,25.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH05,,half removal,3,20.6,,23.7
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH06,,no removal,1,13.7,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH06,,no removal,2,19.5,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH06,,no removal,3,22.7,,18.6
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH07,,no removal,1,17.9,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH07,,no removal,2,15.2,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH07,,no removal,3,12.3,,15.1
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH08,,half removal,1,14.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH08,,half removal,2,25.3,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH08,,half removal,3,24,,21.3
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH09,,full removal,1,19.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH09,,full removal,2,24.9,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH09,,full removal,3,15.7,,20.1
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH10,,half removal,1,26.3,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH10,,half removal,2,25.2,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH10,,half removal,3,22.5,,24.7
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH11,,no removal,1,13.9,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH11,,no removal,2,12.9,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH11,,no removal,3,24.2,,17
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH12,,full removal,1,26.8,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH12,,full removal,2,27,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH12,,full removal,3,26.2,,26.7
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH13,,full removal,1,27.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH13,,full removal,2,28.3,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH13,,full removal,3,27.3,,27.7
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH14,,no removal,1,23.9,,
